RA,G,W,H,BB,HBP,AB,SF,HR,2B,3B,salary,BA,OBP,SLG
675,162,67,1263,435,37,5421,41,109,253,22,86110600,0.232982844,0.292382878,0.348090758
638,162,96,1422,481,56,5447,44,185,276,31,85497333,0.261061135,0.324983411,0.42500459
692,162,90,1513,542,44,5532,40,162,308,22,105433572,0.273499638,0.340857421,0.424981923
720,162,79,1438,535,63,5612,40,183,264,19,75947134,0.256236636,0.32576,0.40787598
712,162,72,1325,489,34,5421,44,107,277,35,45047000,0.244419849,0.308617234,0.367644346
756,162,71,1423,425,59,5549,35,148,285,36,125047329,0.256442602,0.314271589,0.400792936
796,162,56,1442,401,46,5598,37,95,309,28,70694000,0.257591997,0.310588622,0.373704895
529,162,102,1409,539,56,5579,38,153,258,38,172976379,0.252554221,0.322601417,0.39469439
605,162,89,1345,504,28,5528,30,173,244,16,87002692,0.243306802,0.308210181,0.387120116
643,161,80,1319,470,65,5441,32,154,257,22,63856928,0.242418673,0.308588549,0.382650248
742,162,77,1477,571,51,5600,48,108,309,39,118847309,0.26375,0.33476874,0.390714286
702,162,72,1358,542,51,5508,42,149,274,30,56944000,0.246550472,0.317597265,0.388344227
662,162,94,1357,531,61,5421,33,172,293,37,53639833,0.250322819,0.322361892,0.413207895
578,162,86,1327,448,52,5486,43,121,282,24,118198333,0.241888443,0.303035329,0.368209989
612,161,82,1395,498,45,5436,43,117,237,28,104188999,0.256622517,0.321819993,0.375091979
774,162,73,1429,555,57,5544,44,163,274,40,88148071,0.257756133,0.329193548,0.40981241
611,162,71,1284,501,48,5417,47,91,247,42,45869140,0.237031567,0.304839514,0.348532398
670,162,88,1467,511,57,5476,39,163,279,39,132300000,0.267896275,0.334538879,0.422388605
676,162,85,1409,461,65,5518,36,211,228,29,96919500,0.25534614,0.318256579,0.42189199
746,162,72,1492,404,42,5636,41,131,295,37,60916225,0.264726757,0.316511514,0.399929028
845,162,68,1385,555,59,5525,39,136,266,24,78430300,0.250678733,0.323567498,0.381357466
832,162,66,1448,505,53,5562,56,131,270,30,94085000,0.260338008,0.324805699,0.39032722
668,162,95,1462,565,62,5524,49,245,280,13,196522289,0.264663287,0.336935484,0.453113686
705,162,93,1375,480,50,5560,30,214,270,16,77353999,0.247302158,0.31127451,0.417086331
577,162,90,1293,571,58,5398,42,175,250,30,64173500,0.23953316,0.316691382,0.394220082
784,162,73,1346,473,55,5487,45,198,247,22,75009200,0.245307089,0.309240924,0.406597412
806,162,69,1459,428,45,5604,55,165,339,16,173186617,0.26034975,0.315068493,0.414882227
614,162,94,1315,550,45,5527,34,195,267,32,55372500,0.237922924,0.310266407,0.403654786
707,162,93,1526,478,57,5590,53,200,303,32,120510974,0.272987478,0.333603108,0.445974955
699,162,89,1518,449,47,5536,41,187,273,22,154485166,0.274205202,0.331631813,0.432803468
651,162,75,1285,466,30,5494,35,149,241,27,81978100,0.233891518,0.29560166,0.368947943
588,162,97,1377,481,47,5477,37,172,296,30,82203616,0.251415008,0.315292949,0.410626255
648,162,88,1526,533,53,5622,49,159,290,37,110300862,0.271433654,0.337541953,0.421024546
733,162,83,1442,466,90,5557,35,202,300,39,97653944,0.259492532,0.324983735,0.436566493
674,162,79,1313,444,51,5412,45,170,241,37,62951999,0.242609017,0.303763441,0.395048041
759,162,61,1297,447,43,5411,24,137,265,36,88197033,0.239696914,0.301603376,0.377933838
794,162,55,1276,463,58,5407,30,146,238,28,60651000,0.235990383,0.301611279,0.371370446
594,162,98,1468,479,41,5615,36,194,301,25,80855143,0.261442565,0.322152001,0.42760463
600,162,94,1341,567,34,5425,46,149,263,30,82829942,0.24718894,0.319828722,0.389124424
680,162,81,1414,454,63,5544,39,158,271,28,174538938,0.255050505,0.316557377,0.399531025
709,162,74,1357,503,42,5450,30,139,286,21,93353983,0.248990826,0.315684647,0.385688073
724,162,69,1327,484,35,5437,40,137,261,39,118078000,0.24406842,0.307871915,0.382012139
649,162,94,1495,483,29,5558,61,103,287,57,117620683,0.268981648,0.327352797,0.396725441
597,162,86,1369,481,52,5438,38,116,269,23,95143575,0.251746966,0.316525212,0.373666789
688,162,81,1416,539,41,5462,45,165,307,33,73804833,0.259245698,0.327911943,0.418161845
710,162,76,1339,539,54,5422,34,121,272,43,55244700,0.246956842,0.319391635,0.379933604
890,162,64,1526,450,36,5577,39,166,306,52,78069571,0.273623812,0.329727958,0.43643536
624,162,93,1625,531,43,5735,47,176,292,23,145989500,0.283347864,0.34597231,0.43435048
662,162,92,1391,562,51,5465,56,171,290,23,75771800,0.25452882,0.326703619,0.409881061
601,162,86,1443,422,42,5549,42,112,254,34,80091725,0.260046855,0.314946325,0.37862678
788,162,66,1346,533,52,5564,32,151,285,15,75337500,0.241912293,0.312408995,0.379942487
723,162,63,1385,411,34,5563,48,148,237,19,120065277,0.248966385,0.302179657,0.378213194
656,162,97,1566,581,72,5651,50,178,363,29,151530000,0.277119094,0.349228832,0.446115732
646,163,92,1421,589,36,5538,55,165,296,23,52955272,0.256590827,0.329044709,0.407728422
709,162,85,1460,416,36,5620,45,212,298,14,84393333,0.259786477,0.312571522,0.430960854
671,162,85,1321,466,57,5449,36,144,247,24,231978886,0.242429804,0.306924101,0.37584878
756,162,74,1398,510,38,5537,38,185,273,24,126288100,0.252483294,0.317818063,0.41069171
625,162,96,1403,573,45,5521,49,186,301,25,60132500,0.25412063,0.326599871,0.418764717
636,163,91,1465,462,61,5585,42,176,262,23,112522600,0.262309758,0.323252033,0.411996419
737,162,78,1476,523,48,5588,64,164,270,39,124174750,0.264137437,0.328941025,0.414459556
754,162,71,1318,529,31,5558,28,188,249,17,74005043,0.23713566,0.305564595,0.389528607
848,162,51,1307,426,52,5457,38,148,266,16,17890700,0.239508888,0.298844802,0.375481034
596,162,97,1494,481,64,5557,44,125,322,20,92260110,0.268850099,0.331760495,0.401475616
577,162,94,1345,469,88,5486,29,161,273,35,77062000,0.245169522,0.313241107,0.395734597
589,162,90,1370,585,76,5499,46,155,274,20,106404462,0.249136207,0.327263938,0.390798327
687,162,74,1381,407,71,5474,35,157,238,43,76947033,0.252283522,0.310506097,0.397515528
689,162,66,1307,439,67,5498,30,172,297,18,100567726,0.237722808,0.300464037,0.392142597
548,162,96,1354,542,55,5441,35,181,247,21,87871525,0.248851314,0.321258027,0.401764382
626,162,86,1365,464,40,5436,39,161,259,27,113703270,0.251103753,0.312594079,0.397534952
684,162,74,1318,512,51,5559,32,130,263,32,49448346,0.237093002,0.305654859,0.366073035
749,162,73,1355,417,53,5456,31,140,255,32,169863189,0.24835044,0.306362263,0.383797654
646,162,62,1257,432,56,5449,26,95,219,31,33601900,0.230684529,0.292637934,0.334556799
582,162,92,1447,476,57,5491,48,138,281,17,223362196,0.263522127,0.326086957,0.39628483
695,162,81,1468,519,43,5676,43,130,302,31,90132000,0.25863284,0.323196943,0.391472868
700,162,76,1349,467,52,5517,34,146,246,26,65585500,0.244516948,0.307742998,0.377922784
691,162,76,1446,469,39,5552,42,107,280,35,140180334,0.260446686,0.320222878,0.381304035
760,162,74,1511,427,26,5599,35,159,283,36,74409071,0.26986962,0.322654838,0.418467583
