,0
104,"90Monta Ellis, SGIndiana Pacers$10,763,500"
105,"92Jared Dudley, SFPhoenix Suns$10,470,000"
106,"94Al Jefferson, CIndiana Pacers$10,314,532"
107,"96Alec Burks, SGUtah Jazz$10,154,495"
108,"98Terrence Ross, SGToronto Raptors$10,000,000"
109,"100Iman Shumpert, SGCleveland Cavaliers$9,662,922"
110,"102Jerryd Bayless, PGPhiladelphia 76ers$9,424,084"
111,"104Meyers Leonard, CPortland Trail Blazers$9,213,483"
112,"106Maurice Harkless, SFPortland Trail Blazers$8,988,765"
113,"108Jeff Teague, PGIndiana Pacers$8,800,000"
114,"110Ersan Ilyasova, PFOklahoma City Thunder$8,400,000"
115,"112Avery Bradley, SGBoston Celtics$8,269,663"
116,"114Darrell Arthur, PFDenver Nuggets$8,070,175"
117,"116Yi Jianlian, SFLos Angeles Lakers$8,000,000"
118,"118Garrett Temple, SGSacramento Kings$8,000,000"
119,"120Trevor Ariza, SFHouston Rockets$7,806,971"
120,"121Channing Frye, PFCleveland Cavaliers$7,806,971"
121,"123Cole Aldrich, CMinnesota Timberwolves$7,643,979"
122,"125Markieff Morris, PFWashington Wizards$7,400,000"
123,"127JJ Redick, SFLA Clippers$7,377,500"
124,"129D.J. Augustin, PGOrlando Magic$7,250,000"
125,"131Rodney Stuckey, PGIndiana Pacers$7,000,000"
126,"133Ed Davis, PFPortland Trail Blazers$6,666,667"
127,"135Victor Oladipo, SGOklahoma City Thunder$6,552,961"
128,"137Jeremy Lamb, SGCharlotte Hornets$6,511,628"
129,"139Aron Baynes, CDetroit Pistons$6,500,000"
130,"141Spencer Hawes, PFCharlotte Hornets$6,348,759"
131,"143Jae Crowder, PFBoston Celtics$6,286,408"
132,"145Tarik Black, PFLos Angeles Lakers$6,191,000"
133,"147Patrick Patterson, PFToronto Raptors$6,050,000"
134,"149Ramon Sessions, PGCharlotte Hornets$6,000,000"
135,"151Ish Smith, PGDetroit Pistons$6,000,000"
136,"153Karl-Anthony Towns, CMinnesota Timberwolves$5,960,160"
137,"155Otto Porter Jr., SFWashington Wizards$5,893,981"
138,"157Josh McRoberts, PFMiami Heat$5,782,450"
139,"159Brandan Wright, PFMemphis Grizzlies$5,709,880"
140,"122Al-Farouq Aminu, PFPortland Trail Blazers$7,680,965"
141,"124Corey Brewer, SFLos Angeles Lakers$7,612,172"
142,"126Festus Ezeli, CPortland Trail Blazers$7,400,000"
143,"128Cory Joseph, PGToronto Raptors$7,315,000"
144,"130Boris Diaw, CUtah Jazz$7,000,000"
145,"132Boban Marjanovic, CDetroit Pistons$7,000,000"
146,"134Isaiah Thomas, PGBoston Celtics$6,587,132"
147,"136Jodie Meeks, SGOrlando Magic$6,540,000"
148,"138Carl Landry, PFPhiladelphia 76ers$6,500,000"
149,"140Tim Duncan, CSan Antonio Spurs$6,393,750"
150,"142Marco Belinelli, SGCharlotte Hornets$6,333,333"
151,"144Lance Thomas, SFNew York Knicks$6,191,000"
152,"146Andrew Nicholson, PFWashington Wizards$6,088,993"
153,"148Andrew Wiggins, SFMinnesota Timberwolves$6,006,600"
154,"150Wayne Ellington, SGMiami Heat$6,000,000"
155,"152Alex Abrines, SGOklahoma City Thunder$5,994,764"
156,"154Ben Simmons, PGPhiladelphia 76ers$5,903,160"
157,"156Shaun Livingston, PGGolden State Warriors$5,782,450"
158,"158Nikola Mirotic, PFChicago Bulls$5,782,450"
159,"160Tyler Johnson, SGMiami Heat$5,628,000"
160,"161Jared Sullinger, CToronto Raptors$5,628,000"
161,"163Tony Allen, SGMemphis Grizzlies$5,505,618"
162,"165Nick Young, SGLos Angeles Lakers$5,443,918"
163,"167D'Angelo Russell, PGLos Angeles Lakers$5,332,800"
164,"169PJ Tucker, SFToronto Raptors$5,300,000"
165,"171Kyle Korver, SGCleveland Cavaliers$5,239,437"
166,"173Langston Galloway, SGSacramento Kings$5,200,000"
167,"175Jason Smith, PFWashington Wizards$5,000,000"
168,"177Jonas Jerebko, PFBoston Celtics$5,000,000"
169,"179Kyle Singler, SFOklahoma City Thunder$4,837,500"
170,"181Joel Embiid, CPhiladelphia 76ers$4,826,160"
171,"183Jahlil Okafor, CPhiladelphia 76ers$4,788,840"
172,"185Alexis Ajinca, CNew Orleans Pelicans$4,638,203"
173,"187CJ Miles, SFIndiana Pacers$4,583,450"
174,"189Nerlens Noel, CPhiladelphia 76ers$4,384,490"
175,"191Greivis Vasquez, PGBrooklyn Nets$4,347,826"
176,"193Dragan Bender, PFPhoenix Suns$4,276,320"
177,"195Devin Harris, PGDallas Mavericks$4,227,996"
178,"197Ben McLemore, SGSacramento Kings$4,008,882"
179,"199Udonis Haslem, PFMiami Heat$4,000,000"
180,"162Wesley Johnson, SFLA Clippers$5,628,000"
181,"164Luis Scola, PFBrooklyn Nets$5,500,000"
182,"166Jabari Parker, PFMilwaukee Bucks$5,374,320"
183,"168Cody Zeller, CCharlotte Hornets$5,318,313"
184,"170Brandon Ingram, SFLos Angeles Lakers$5,281,680"
185,"172Darren Collison, PGSacramento Kings$5,229,454"
