,0,1,2,3,4
260,"Touch of Power (Healer, #1)",Maria V. Snyder,4.17,  97,/book/show/10445208-touch-of-power
261,"Fired Up (Arcane Society, #7; Dreamlight Trilogy, #1)",Jayne Ann Krentz,4.05,  97,/book/show/8199591-fired-up
262,"Assumption (Underground Kings, #1)",Aurora Rose Reynolds,4.18,  97,/book/show/21063217-assumption
263,"In the Woods (Dublin Murder Squad, #1)",Tana French,3.75,  97,/book/show/237209.In_the_Woods
264,The Duke of Shadows,Meredith Duran,4.06,  97,/book/show/3112394-the-duke-of-shadows
265,"Queen of the Darkness (The Black Jewels, #3)",Anne Bishop,4.37,  97,/book/show/47959.Queen_of_the_Darkness
266,"Vampire Academy Box Set (Vampire Academy, #1-4)",Richelle Mead,4.57,  96,/book/show/8718952-vampire-academy-box-set
267,The Perks of Being a Wallflower,Stephen Chbosky,4.21,  96,/book/show/13573503-the-perks-of-being-a-wallflower
268,"Slightly Married (Bedwyn Saga, #1)",Mary Balogh,3.94,  96,/book/show/6297034-slightly-married
269,"Fighting Silence (On the Ropes, #1)",Aly Martinez,4.22,  96,/book/show/23206497-fighting-silence
270,My Girl,Jack   Jordan,3.76,  96,/book/show/30109213-my-girl
271,The Dream Hunter,Laura Kinsale,3.79,  96,/book/show/802150.The_Dream_Hunter
272,The Time Traveler's Wife,Audrey Niffenegger,3.95,  96,/book/show/207035.The_Time_Traveler_s_Wife
273,"The King's Falcon (Roundheads and Cavaliers, #3)",Stella Riley,4.03,  96,/book/show/22591549-the-king-s-falcon
274,The Girl Who Chased the Moon,Sarah Addison Allen,3.97,  95,/book/show/5126859-the-girl-who-chased-the-moon
275,The Proposition,Judith Ivory,3.87,  95,/book/show/720801.The_Proposition
276,"Beautiful Bad Man (Sutton Family, #1)",Ellen O'Connell,4.06,  95,/book/show/16048967-beautiful-bad-man
277,Waking the Witch,Lisa Whitefern,4.54,  94,/book/show/6079129-waking-the-witch
278,The Indiscretion,Judith Ivory,3.82,  94,/book/show/222757.The_Indiscretion
279,"Eyes of Silver, Eyes of Gold (Eyes of Silver, Eyes of Gold, #1)",Ellen O'Connell,4.23,  94,/book/show/8262550-eyes-of-silver-eyes-of-gold
280,"Collision Course (Florida Books, #2)",K.A. Mitchell,3.98,  93,/book/show/5989460-collision-course
281,"Bared to You (Crossfire, #1)",Sylvia Day,4.19,  93,/book/show/20448515-bared-to-you
282,The Sugar Queen,Sarah Addison Allen,3.98,  93,/book/show/6202183-the-sugar-queen
283,Black Silk,Judith Ivory,3.66,  93,/book/show/1361044.Black_Silk
284,"My Lord and Spymaster (Spymasters, #2)",Joanna Bourne,3.89,  93,/book/show/2281319.My_Lord_and_Spymaster
285,"Nothing But Trouble (Chinooks Hockey Team, #5)",Rachel Gibson,4.02,  92,/book/show/6950451-nothing-but-trouble
286,Dear John,Nicholas Sparks,4.01,  92,/book/show/5526.Dear_John
287,Untie My Heart,Judith Ivory,3.89,  92,/book/show/1361045.Untie_My_Heart
288,A Splendid Defiance,Stella Riley,4.30,  92,/book/show/3170789-a-splendid-defiance
289,"Hawksong (The Kiesha'ra, #1)",Amelia Atwater-Rhodes,4.15,  91,/book/show/30334.Hawksong
290,The Wind and the Sea,Marsha Canham,4.15,  91,/book/show/891795.The_Wind_and_the_Sea
291,"Extreme Exposure (I-Team, #1)",Pamela Clare,3.92,  91,/book/show/6068889-extreme-exposure
292,"Mr. Impossible (Carsington Brothers, #2)",Loretta Chase,3.98,  91,/book/show/132606.Mr_Impossible
293,"Garland of Straw (Roundheads and Cavaliers, #2)",Stella Riley,4.23,  91,/book/show/3170787-garland-of-straw
294,"The Last Arrow (Robin Hood, #3)",Marsha Canham,4.27,  90,/book/show/707592.The_Last_Arrow
295,"Miss Wonderful (Carsington Brothers, #1)",Loretta Chase,3.67,  90,/book/show/425374.Miss_Wonderful
296,The Marigold Chain,Stella Riley,4.03,  90,/book/show/3099801-the-marigold-chain
297,"In the Shadow of Midnight (Robin Hood, #2)",Marsha Canham,4.19,  89,/book/show/707604.In_the_Shadow_of_Midnight
298,"A Week to Be Wicked (Spindle Cove, #2)",Tessa Dare,4.12,  89,/book/show/12944122-a-week-to-be-wicked
299,"Lord Perfect  (Carsington Brothers, #3)",Loretta Chase,4.01,  89,/book/show/132598.Lord_Perfect
