,0,1,2,3,4
57,"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,4.07,"  1,681",/book/show/6936382-anna-and-the-french-kiss
58,"Gabriel's Inferno (Gabriel's Inferno, #1)",Sylvain Reynard,4.02,"  1,628",/book/show/11175681-gabriel-s-inferno
59,"Seduce Me at Sunrise (The Hathaways, #2)",Lisa Kleypas,4.10,"  1,612",/book/show/2948832-seduce-me-at-sunrise
60,After the Night,Linda Howard,4.10,"  1,529",/book/show/420739.After_the_Night
61,"Born in Ice (Born In Trilogy, #2)",Nora Roberts,4.13,"  1,515",/book/show/114129.Born_in_Ice
62,"The Rake (Davenport, #2)",Mary Jo  Putney,4.05,"  1,497",/book/show/614718.The_Rake
63,Secret Deceptions (Amatore's Restaurant #1),James Sillwood,4.49,"  1,494",/book/show/25001951-secret-deceptions
64,"Born in Fire (Born In Trilogy, #1)",Nora Roberts,4.21,"  1,490",/book/show/114145.Born_in_Fire
65,"Again the Magic (Wallflowers, #0)",Lisa Kleypas,4.05,"  1,452",/book/show/674220.Again_the_Magic
66,"Sea Swept (Chesapeake Bay Saga, #1)",Nora Roberts,4.24,"  1,431",/book/show/628139.Sea_Swept
67,The Pillars of the Earth,Ken Follett,4.29,"  1,398",/book/show/997354.The_Pillars_of_the_Earth
68,"After the Fall (Roman Time Travel, #2)",Morgan O'Neill,4.12,"  1,386",/book/show/15776243-after-the-fall
69,"Devil's Bride (Cynster, #1)",Stephanie Laurens,4.10,"  1,331",/book/show/363499.Devil_s_Bride
70,"Then Came You (The Gamblers, #1)",Lisa Kleypas,3.99,"  1,330",/book/show/114170.Then_Came_You
71,"The Raven Prince (Princes Trilogy, #1)",Elizabeth Hoyt,3.98,"  1,328",/book/show/28863.The_Raven_Prince
72,A Queen's Spy: The Tudor Mystery Trials,Samantha Burnell,4.19,"  1,300",/book/show/34941821-a-queen-s-spy
73,"See Jane Score (Chinooks Hockey Team, #2)",Rachel Gibson,4.06,"  1,252",/book/show/60223.See_Jane_Score
74,A Walk to Remember,Nicholas Sparks,4.15,"  1,224",/book/show/3473.A_Walk_to_Remember
75,Morning Glory,LaVyrle Spencer,4.24,"  1,209",/book/show/987577.Morning_Glory
76,"Scandal in Spring (Wallflowers, #4)",Lisa Kleypas,4.02,"  1,169",/book/show/105574.Scandal_in_Spring
77,"Rising Tides (Chesapeake Bay Saga, #2)",Nora Roberts,4.16,"  1,101",/book/show/534733.Rising_Tides
78,Reckless Endangerment,Amber Lea Easton,4.06,"  1,095",/book/show/17796115-reckless-endangerment
79,Redeeming Love,Francine Rivers,4.49,"  1,079",/book/show/950839.Redeeming_Love
80,North and South,Elizabeth Gaskell,4.13,  935,/book/show/14800526-north-and-south
81,Practice Makes Perfect,Julie James,3.99,  927,/book/show/5082599-practice-makes-perfect
82,"Easy (Contours of the Heart, #1)",Tammara Webber,4.11,  902,/book/show/13548456-easy
83,"Return to Me (Roman Time Travel, #3)",Morgan O'Neill,4.15,  879,/book/show/16114561-return-to-me
84,Ravished,Amanda Quick,4.01,  864,/book/show/367689.Ravished
85,"A Summer to Remember (Bedwyn Prequels, #2)",Mary Balogh,4.07,  819,/book/show/35334.A_Summer_to_Remember
86,"The Magic of You (Malory-Anderson Family, #4)",Johanna Lindsey,4.17,  819,/book/show/350710.The_Magic_of_You
87,"When He was Wicked (Bridgertons, #6)",Julia Quinn,4.03,  811,/book/show/110396.When_He_was_Wicked
88,"The Lion's Lady (Crown's Spies, #1)",Julie Garwood,4.16,  783,/book/show/107783.The_Lion_s_Lady
89,"Naked in Death (In Death, #1)",J.D. Robb,4.13,  777,/book/show/268602.Naked_in_Death
90,"Kiss of the Highlander (Highlander, #4)",Karen Marie Moning,4.31,  735,/book/show/112754.Kiss_of_the_Highlander
91,"Anne's House of Dreams (Anne of Green Gables, #5)",L.M. Montgomery,4.12,  702,/book/show/77394.Anne_s_House_of_Dreams
92,Angles - Part I,Erin Lockwood,4.43,  700,/book/show/31818553-angles---part-i
93,"Drums of Autumn (Outlander, #4)",Diana Gabaldon,4.34,  698,/book/show/10988.Drums_of_Autumn
94,"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,4.21,  696,/book/show/42899.Dark_Lover
95,Riptide,Amber Lea Easton,4.02,  688,/book/show/15849310-riptide
96,"On the Island (On the Island, #1)",Tracey Garvis-Graves,4.13,  670,/book/show/15505346-on-the-island
97,Eleanor & Park,Rainbow Rowell,4.11,  638,/book/show/15745753-eleanor-park
98,"Mackenzie's Mission (Mackenzie Family, #2)",Linda Howard,4.08,  633,/book/show/420744.Mackenzie_s_Mission
99,Fires of Winter,Johanna Lindsey,4.03,  630,/book/show/11410988-fires-of-winter
100,Hummingbird,LaVyrle Spencer,4.08,  629,/book/show/734611.Hummingbird
101,"The Shadow and the Star (Victorian Hearts, #2)",Laura Kinsale,4.02,  608,/book/show/802151.The_Shadow_and_the_Star
102,Arabella,Georgette Heyer,4.04,  596,/book/show/311150.Arabella
103,Sylvester,Georgette Heyer,4.10,  582,/book/show/1425327.Sylvester
104,The Thorn Birds,Colleen McCullough,4.22,  577,/book/show/3412.The_Thorn_Birds
105,Wuthering Heights,Emily Brontë,3.82,  560,/book/show/6185.Wuthering_Heights
106,"Smooth Talking Stranger (Travises, #3)",Lisa Kleypas,4.17,  545,/book/show/4066312-smooth-talking-stranger
107,"The Wedding (Lairds' Fiancées, #2)",Julie Garwood,4.18,  543,/book/show/107778.The_Wedding
