"Married By Morning (The Hathaways, #4)",Lisa Kleypas," 4.14 avg rating _яс 24,844 ratings","score: 2,264",/book/show/7198269-married-by-morning
Dream Man,Linda Howard," 4.04 avg rating _яс 15,499 ratings","score: 2,231",/book/show/72623.Dream_Man
"Dream a Little Dream (Chicago Stars, #4)",Susan Elizabeth Phillips," 4.18 avg rating _яс 26,021 ratings","score: 2,219",/book/show/73095.Dream_a_Little_Dream
The Wolf and the Dove,Kathleen E. Woodiwiss," 4.14 avg rating _яс 15,174 ratings","score: 2,183",/book/show/896622.The_Wolf_and_the_Dove
The Prize,Julie Garwood," 4.22 avg rating _яс 22,713 ratings","score: 2,103",/book/show/107772.The_Prize
The Grand Sophy,Georgette Heyer," 4.16 avg rating _яс 19,039 ratings","score: 2,094",/book/show/261689.The_Grand_Sophy
"Mackenzie's Mountain (Mackenzie Family, #1)",Linda Howard," 4.19 avg rating _яс 13,240 ratings","score: 2,080",/book/show/662323.Mackenzie_s_Mountain
"Ransom (Highlands' Lairds, #2)",Julie Garwood," 4.33 avg rating _яс 24,517 ratings","score: 1,996",/book/show/107776.Ransom
Saving Grace,Julie Garwood," 4.25 avg rating _яс 20,639 ratings","score: 1,983",/book/show/133241.Saving_Grace
Venetia,Georgette Heyer," 4.07 avg rating _яс 10,500 ratings","score: 1,978",/book/show/32102.Venetia
A Rose in Winter,Kathleen E. Woodiwiss," 4.15 avg rating _яс 8,594 ratings","score: 1,951",/book/show/896625.A_Rose_in_Winter
"It Happened One Autumn (Wallflowers, #2)",Lisa Kleypas," 4.15 avg rating _яс 34,118 ratings","score: 1,879",/book/show/827412.It_Happened_One_Autumn
The Count of Monte Cristo,Alexandre Dumas," 4.22 avg rating _яс 605,009 ratings","score: 1,851",/book/show/7126.The_Count_of_Monte_Cristo
"Devil's Cub (Alastair, #2)",Georgette Heyer," 4.19 avg rating _яс 10,459 ratings","score: 1,846",/book/show/311308.Devil_s_Cub
"Love in the Afternoon (The Hathaways, #5)",Lisa Kleypas," 4.20 avg rating _яс 27,103 ratings","score: 1,831",/book/show/7491418-love-in-the-afternoon
"The Viscount Who Loved Me (Bridgertons, #2)",Julia Quinn," 4.19 avg rating _яс 39,099 ratings","score: 1,826",/book/show/861326.The_Viscount_Who_Loved_Me
Amatore's Restaurant,James Sillwood, 4.28 avg rating _яс 76 ratings,"score: 1,780",/book/show/22820335-amatore-s-restaurant
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery," 4.23 avg rating _яс 537,442 ratings","score: 1,696",/book/show/8127.Anne_of_Green_Gables
"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins," 4.07 avg rating _яс 288,433 ratings","score: 1,681",/book/show/6936382-anna-and-the-french-kiss
