,0,1,2,3,4
57,"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins," 4.07 avg rating — 288,465 ratings","score: 1,681",t
58,"Gabriel's Inferno (Gabriel's Inferno, #1)",Sylvain Reynard," 4.02 avg rating — 128,396 ratings","score: 1,628",e
59,"Seduce Me at Sunrise (The Hathaways, #2)",Lisa Kleypas," 4.10 avg rating — 24,174 ratings","score: 1,612",r
60,Hummingbird,LaVyrle Spencer," 4.08 avg rating — 3,469 ratings",score: 629,h
61,"The Shadow and the Star (Victorian Hearts, #2)",Laura Kinsale," 4.02 avg rating — 2,843 ratings",score: 608,t
62,Arabella,Georgette Heyer," 4.04 avg rating — 11,983 ratings",score: 596,t
63,Sylvester,Georgette Heyer," 4.10 avg rating — 10,171 ratings",score: 582,p
64,The Thorn Birds,Colleen McCullough," 4.22 avg rating — 268,251 ratings",score: 577,s
65,Wuthering Heights,Emily Brontë," 3.82 avg rating — 1,008,690 ratings",score: 560,:
66,"Smooth Talking Stranger (Travises, #3)",Lisa Kleypas," 4.17 avg rating — 31,002 ratings",score: 545,/
67,"The Wedding (Lairds' Fiancées, #2)",Julie Garwood," 4.18 avg rating — 23,003 ratings",score: 543,/
68,"Sawyer (Buckhorn Brothers, #1)",Lori Foster," 4.03 avg rating — 5,568 ratings",score: 516,w
69,"These Old Shades (Alastair, #1)",Georgette Heyer," 4.06 avg rating — 12,193 ratings",score: 483,w
70,The Color Purple,Alice Walker," 4.17 avg rating — 402,846 ratings",score: 470,w
71,Yours Until Dawn,Teresa Medeiros," 4.09 avg rating — 8,150 ratings",score: 454,.
72,The Windflower,Laura London," 4.06 avg rating — 1,596 ratings",score: 449,g
73,"Comanche Moon (Comanche, #1)",Catherine Anderson," 4.12 avg rating — 6,512 ratings",score: 434,o
74,"Divergent (Divergent, #1)",Veronica Roth," 4.24 avg rating — 2,242,073 ratings",score: 423,o
75,Prince Charming,Julie Garwood," 4.04 avg rating — 10,906 ratings",score: 419,d
76,Cry No More,Linda Howard," 4.09 avg rating — 11,321 ratings",score: 388,r
77,The Masqueraders,Georgette Heyer," 4.03 avg rating — 5,886 ratings",score: 380,e
78,One Perfect Rose (Fallen Angels #7),Mary Jo  Putney," 4.01 avg rating — 2,382 ratings",score: 375,a
79,"Truce (Neighbor from Hell, #4)",R.L. Mathewson," 4.34 avg rating — 21,512 ratings",score: 375,d
80,"Maid for Love (Gansett Island Series, #1)",Marie Force," 3.98 avg rating — 19,851 ratings",score: 366,s
81,"Shadow of Night (All Souls Trilogy, #2)",Deborah Harkness," 4.04 avg rating — 113,673 ratings",score: 360,.
82,Memoirs of a Geisha,Arthur Golden," 4.08 avg rating — 1,426,208 ratings",score: 357,c
83,Emma,Jane Austen," 3.99 avg rating — 502,256 ratings",score: 357,o
84,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg," 4.26 avg rating — 218,019 ratings",score: 355,m
85,Romeo and Juliet,William Shakespeare," 3.74 avg rating — 1,683,767 ratings",score: 352,/
86,"Playing for Keeps (Neighbor from Hell, #1)",R.L. Mathewson," 4.08 avg rating — 91,646 ratings",score: 348,b
87,Water for Elephants,Sara Gruen," 4.07 avg rating — 1,114,753 ratings",score: 347,o
88,A Town Like Alice,Nevil Shute," 4.12 avg rating — 40,059 ratings",score: 327,o
89,"Tempt Me at Twilight (The Hathaways, #3)",Lisa Kleypas," 4.18 avg rating — 25,274 ratings",score: 325,k
90,"This Girl (Slammed, #3)",Colleen Hoover," 4.18 avg rating — 61,562 ratings",score: 322,/
91,Once in a Blue Moon,Penelope Williamson, 4.06 avg rating — 429 ratings,score: 312,s
92,Mrs. Drew Plays Her Hand,Carla Kelly," 4.07 avg rating — 2,141 ratings",score: 308,h
93,Porcelain Keys,Sarah Beard, 4.20 avg rating — 298 ratings,score: 300,o
94,"The Dark Prince (Les Fées: The French Fae Legend, #1)",Emma V. Leech, 3.95 avg rating — 607 ratings,score: 299,w
95,"The Dark Heart (Les Fées: The French Fae Legend, #2)",Emma V. Leech, 4.49 avg rating — 278 ratings,score: 298,/
96,The Duke's Redemption,Carla Capshaw, 4.15 avg rating — 222 ratings,score: 294,1
97,The Protector,Carla Capshaw, 4.28 avg rating — 425 ratings,score: 293,1
98,A Place to Call Home,Deborah Smith," 4.05 avg rating — 2,298 ratings",score: 289,6
99,"Mrs. Mike (Mrs. Mike, #1)",Benedict Freedman," 4.13 avg rating — 14,463 ratings",score: 289,8
100,"How to Marry a Marquis (Agents of the Crown, #2)",Julia Quinn," 4.01 avg rating — 12,765 ratings",score: 285,0
101,Only Love Is Real: A Story of Soulmates Reunited,Brian L. Weiss," 4.15 avg rating — 6,420 ratings",score: 284,4
102,Phantom Waltz,Catherine Anderson," 4.19 avg rating — 4,489 ratings",score: 283,4
103,"Tatiana and Alexander (The Bronze Horseman, #2)",Paullina Simons," 4.30 avg rating — 26,447 ratings",score: 280,6
104,Whispers of Heaven,Candice Proctor, 4.00 avg rating — 299 ratings,score: 275,-
105,"These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901, Arizona Territories (Sarah Agnes Prine, #1)",Nancy E. Turner," 4.34 avg rating — 54,418 ratings",score: 267,o
106,The Blue Castle,L.M. Montgomery," 4.23 avg rating — 21,033 ratings",score: 267,p
107,"Shattered Rainbows (Fallen Angels, #5)",Mary Jo  Putney," 4.04 avg rating — 1,594 ratings",score: 265,e
108,Attachments,Rainbow Rowell," 3.95 avg rating — 121,402 ratings",score: 262,n
109,"When Beauty Tamed the Beast (Fairy Tales, #2)",Eloisa James," 4.06 avg rating — 18,257 ratings",score: 256,-
110,"Fifty Shades Trilogy (Fifty Shades, #1-3)",E.L. James," 4.13 avg rating — 102,044 ratings",score: 251,s
111,"Garden Spells (Waverley Family, #1)",Sarah Addison Allen," 4.06 avg rating — 71,990 ratings",score: 250,e
112,Mr. Perfect,Linda Howard," 4.07 avg rating — 26,995 ratings",score: 249,a
113,Scaramouche,Rafael Sabatini," 4.06 avg rating — 6,260 ratings",score: 242,s
114,Edenbrooke,Julianne Donaldson," 4.34 avg rating — 30,477 ratings",score: 242,o
115,"The Spymaster's Lady (Spymasters, #1)",Joanna Bourne," 4.04 avg rating — 5,479 ratings",score: 237,n
116,"Winters Heat (Titan, #1)",Cristin Harber," 4.02 avg rating — 6,439 ratings",score: 155,h
117,"Born in Shame (Born In Trilogy, #3)",Nora Roberts," 4.07 avg rating — 26,106 ratings",score: 152,t
118,"Secrets of a Summer Night (Wallflowers, #1)",Lisa Kleypas," 4.05 avg rating — 37,155 ratings",score: 149,t
119,"Into the Wilderness (Wilderness, #1)",Sara Donati," 4.10 avg rating — 28,114 ratings",score: 146,p
120,"The Will (Magdalene, #1)",Kristen Ashley," 4.30 avg rating — 22,679 ratings",score: 146,s
121,"Soaring (Magdalene, #2)",Kristen Ashley," 4.34 avg rating — 11,720 ratings",score: 144,:
122,"Nine Rules to Break When Romancing a Rake (Love By Number, #1)",Sarah MacLean," 4.08 avg rating — 30,153 ratings",score: 144,/
123,"Over the Edge (Troubleshooters, #3)",Suzanne Brockmann," 4.23 avg rating — 10,266 ratings",score: 139,/
124,"Something About You (FBI/US Attorney, #1)",Julie James," 3.94 avg rating — 50,192 ratings",score: 138,w
125,Tempt Me Not (Me Not #1),Eve Byron, 4.06 avg rating — 93 ratings,score: 137,w
126,Dance with the Devil (Dark-Hunter #3),Sherrilyn Kenyon," 4.39 avg rating — 54,781 ratings",score: 125,w
127,"The Sweetest Thing (Lucky Harbor, #2)",Jill Shalvis," 4.12 avg rating — 16,677 ratings",score: 125,.
128,"The Deal (Off-Campus, #1)",Elle Kennedy," 4.30 avg rating — 80,855 ratings",score: 125,g
129,"A Game of Chance (Mackenzie Family, #4)",Linda Howard," 4.07 avg rating — 5,413 ratings",score: 121,o
130,"Running Hot (Arcane Society, #5)",Jayne Ann Krentz," 4.07 avg rating — 8,058 ratings",score: 117,o
131,Master of Swords (Mageverse #4),Angela Knight," 4.19 avg rating — 2,751 ratings",score: 111,d
132,Bite Me If You Can (Argeneau #6),Lynsay Sands," 4.27 avg rating — 17,799 ratings",score: 107,r
133,Dancing on Coals,Ellen O'Connell," 4.10 avg rating — 2,588 ratings",score: 106,e
134,"Megan's Mark (Breeds, #7; Feline Breeds, #5)",Lora Leigh," 4.11 avg rating — 10,571 ratings",score: 105,a
135,God-Shaped Hole,Tiffanie DeBartolo," 4.04 avg rating — 6,053 ratings",score: 100,d
136,A Crack in Forever,Jeannie Brewer, 4.20 avg rating — 687 ratings,score: 100,s
137,"Conspiracy Game (GhostWalkers, #4)",Christine Feehan," 4.36 avg rating — 9,831 ratings",score: 100,.
138,Nakoa's Woman,Gayle Rogers, 4.06 avg rating — 150 ratings,score: 100,c
139,"The Return (The Austin Trilogy, #2)",Brad Boney," 4.23 avg rating — 1,210 ratings",score: 100,o
140,"The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness (The Black Jewels, #1-3)",Anne Bishop," 4.39 avg rating — 11,138 ratings",score: 100,m
141,Jaya: An Illustrated Retelling of the Mahabharata,Devdutt Pattanaik," 4.20 avg rating — 10,736 ratings",score: 100,/
142,Dreaming of Love (The Bradens at Trusty #5; The Bradens #11; Love in Bloom #20),Melissa Foster, 4.47 avg rating — 930 ratings,score: 100,b
143,Love not for sale,Anurag Garg, 4.02 avg rating — 54 ratings,score: 100,o
144,"Comanche Heart (Comanche, #2)",Catherine Anderson," 4.05 avg rating — 3,027 ratings",score: 100,o
145,Naughty Housewives,Ernest Morris, 3.91 avg rating — 75 ratings,score: 100,k
146,"A Million Different Ways (Horn Duet, #1)",P. Dangelico, 4.04 avg rating — 311 ratings,score: 100,/
147,Next!: The Search for My Last First Date,Robert    James, 4.00 avg rating — 30 ratings,score: 100,s
148,Ella Enchanted,Gail Carson Levine," 3.97 avg rating — 347,463 ratings",score: 100,h
149,"Crave: Part One (Crave Duet, #1)",E.K. Blair, 4.09 avg rating — 462 ratings,score: 100,o
150,"The Black Hawk (The Spymaster's Lady, #4)",Joanna Bourne," 4.16 avg rating — 2,600 ratings",score: 100,w
151,The Accidental Wife,C.J. Fosdick, 4.28 avg rating — 25 ratings,score: 100,/
152,Surrender the Wind,Elizabeth St. Michel, 4.62 avg rating — 50 ratings,score: 100,1
153,Annie's Song,Catherine Anderson," 4.20 avg rating — 10,399 ratings",score: 99,3
154,"The Rainbow Season (Turner's Rainbows Saga, #1)",Lisa Gregory, 3.97 avg rating — 506 ratings,score: 99,2
155,"Stardust of Yesterday (de Piaget, #9; de Paiget/MacLeod, #1)",Lynn Kurland," 4.10 avg rating — 3,540 ratings",score: 99,5
156,"The Keeper: Revenge (The Keeper, #2)",O.L. Ramos, 4.24 avg rating — 124 ratings,score: 99,9
157,"Arielle: Immortal Quickening (Immortal Rapture, #4)",Lilian Roberts, 4.45 avg rating — 209 ratings,score: 99,8
158,வந்தார்கள் வென்றார்கள் [Vandhargal Vendrargal],Madhan," 4.23 avg rating — 1,895 ratings",score: 99,.
159,The Champion,Carla Capshaw, 4.26 avg rating — 452 ratings,score: 99,L
160,"The Violet Hour (The Violet Hour, #1)",Andrea L. Wells, 3.87 avg rating — 170 ratings,score: 99,o
161,"Flat-Out Love (Flat-Out Love, #1)",Jessica Park," 4.01 avg rating — 52,231 ratings",score: 99,r
162,Forbidden,Tabitha Suzuma," 4.06 avg rating — 43,585 ratings",score: 99,d
163,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James," 3.66 avg rating — 1,441,182 ratings",score: 99,_
164,Not Quite a Husband,Sherry Thomas," 3.88 avg rating — 7,026 ratings",score: 99,P
165,Atonement,Ian McEwan," 3.88 avg rating — 367,489 ratings",score: 99,e
166,The Winds of Fate,Elizabeth St. Michel, 3.97 avg rating — 194 ratings,score: 99,r
167,Line of Scrimmage,Marie Force," 3.99 avg rating — 6,616 ratings",score: 98,f
168,"Point of Retreat (Slammed, #2)",Colleen Hoover," 4.30 avg rating — 124,770 ratings",score: 98,e
169,"Learning To Let Go (Learning, #2)",Cynthia P. O'Neill, 4.06 avg rating — 174 ratings,score: 98,c
170,"The Opportunist (Love Me with Lies, #1)",Tarryn Fisher," 4.22 avg rating — 42,008 ratings",score: 98,t
