,FAKEID,Y2defect,Y1G5,Y1G4,Y1G3,Y1G2,Y1G1,Y1price,YEARS,BACKER,AGE,INCOME,GNDR,OWNHOME,SPORT,PCTMARR,HOMEVAL
144,158W33FU,1,0,0,1,0,0,25,3,0,62.0,4.0,0.0,1.0,0.0,68,70
145,039X58WI,1,1,1,1,0,0,15,3,0,69.0,6.0,0.0,1.0,0.0,64,93
146,414F19PA,1,0,1,0,0,0,15,3,0,81.0,4.0,0.0,1.0,0.0,62,109
147,254F29AL,1,0,1,1,0,0,15,6,0,49.0,1.0,1.0,1.0,0.0,63,39
148,332P65ID,0,0,0,1,0,0,15,11,1,52.0,6.0,1.0,1.0,0.0,67,56
149,486D37LY,0,1,0,0,0,1,15,7,1,69.0,1.0,0.0,1.0,1.0,49,132
150,642Z33TA,1,0,0,0,1,0,50,10,1,46.0,1.0,1.0,1.0,0.0,67,110
151,337C40VQ,0,0,1,0,0,1,25,9,1,57.0,2.0,0.0,1.0,0.0,48,34
153,928Y43YI,0,0,0,1,1,0,15,6,1,75.0,4.0,0.0,1.0,0.0,64,46
154,967E71EP,1,1,1,0,0,0,25,5,0,63.0,0.0,0.0,1.0,0.0,59,76
155,142E67DJ,1,0,1,1,0,0,25,3,0,61.0,6.0,0.0,1.0,0.0,68,145
156,061O32ZU,0,0,1,1,0,1,15,7,1,82.0,2.0,1.0,1.0,0.0,66,104
157,087N29PH,1,0,0,1,0,0,25,3,0,57.0,4.0,1.0,1.0,0.0,52,45
158,729K31YH,0,0,1,1,1,1,15,3,0,54.0,0.0,0.0,1.0,1.0,60,93
159,059H10KM,1,0,1,1,0,1,15,7,1,38.0,3.0,1.0,1.0,0.0,50,28
160,843O36EQ,1,0,0,1,1,1,15,10,1,66.0,0.0,0.0,1.0,0.0,61,51
161,772K89LM,0,1,1,0,0,0,15,5,0,33.0,4.0,1.0,1.0,0.0,45,216
162,584Z47IE,0,0,1,0,1,0,15,10,0,48.0,5.0,0.0,1.0,0.0,67,98
163,809I06VL,1,0,0,1,0,0,25,9,1,71.0,0.0,0.0,1.0,0.0,18,40
164,906J13QA,0,0,1,0,1,0,15,9,0,49.0,3.0,1.0,1.0,0.0,53,147
166,881W43YW,0,0,1,1,0,1,15,5,0,54.0,5.0,0.0,1.0,0.0,50,93
167,197X26JF,0,0,0,1,1,1,25,5,1,63.0,1.0,1.0,1.0,0.0,65,78
168,340Z24TT,0,0,0,1,0,1,15,6,1,56.0,5.0,0.0,1.0,0.0,66,87
169,605B63PM,0,0,1,1,1,1,50,9,0,50.0,4.0,0.0,1.0,0.0,75,132
170,089C77HN,0,0,0,1,0,0,15,11,1,85.0,2.0,0.0,1.0,0.0,59,63
172,521B96GH,1,0,1,1,0,0,15,9,1,68.0,2.0,1.0,1.0,0.0,62,64
173,194A45OJ,0,0,0,1,0,1,25,3,1,82.0,2.0,1.0,1.0,0.0,65,105
174,248K72HB,0,1,0,1,1,1,15,11,1,65.0,6.0,0.0,1.0,0.0,71,246
175,525W15QT,0,0,0,1,0,0,15,4,1,27.0,3.0,0.0,1.0,0.0,52,113
176,868O73GX,0,0,1,1,0,0,25,3,0,50.0,3.0,1.0,1.0,0.0,71,103
177,021M77JW,1,1,1,0,0,0,50,4,0,45.0,4.0,0.0,1.0,0.0,51,69
178,938Q51SM,1,0,1,1,0,0,15,3,0,53.0,4.0,1.0,1.0,0.0,47,62
179,225J34SE,1,0,1,0,1,1,15,6,1,60.0,1.0,1.0,1.0,0.0,58,107
180,072U08ID,0,0,0,1,0,1,15,3,1,67.0,0.0,0.0,1.0,0.0,68,38
182,182G33CH,0,0,1,1,0,0,25,6,1,54.0,0.0,1.0,1.0,0.0,54,68
183,077C89EG,1,0,0,1,0,0,15,3,0,32.0,3.0,0.0,1.0,0.0,48,70
185,535J55CI,1,0,0,1,0,0,15,3,0,67.0,3.0,0.0,1.0,0.0,52,159
186,458F24XJ,1,1,0,1,1,0,15,11,1,77.0,1.0,0.0,1.0,0.0,73,42
187,920T29UD,1,0,1,1,0,0,15,3,0,51.0,5.0,0.0,1.0,0.0,52,52
188,030O08TH,0,0,0,1,0,1,15,6,1,84.0,4.0,0.0,1.0,0.0,48,105
189,464T30XD,1,1,1,0,1,1,15,10,1,46.0,5.0,0.0,1.0,0.0,58,194
190,187T76IR,0,0,1,0,1,1,15,7,1,72.0,3.0,0.0,1.0,0.0,89,78
191,157J04DP,1,0,1,1,0,0,15,3,0,49.0,3.0,0.0,1.0,0.0,66,38
192,768L39QL,1,0,0,0,0,1,15,11,1,63.0,6.0,0.0,1.0,0.0,60,189
193,600Z72WU,0,0,0,1,0,1,25,7,1,76.0,6.0,0.0,1.0,0.0,35,144
194,554T49DV,1,1,0,0,1,0,25,6,1,53.0,4.0,0.0,1.0,0.0,33,58
195,873E07YM,1,0,0,1,1,1,25,6,0,64.0,3.0,1.0,1.0,0.0,47,73
196,007P61BQ,1,0,1,0,0,0,15,3,0,53.0,5.0,1.0,1.0,0.0,78,179
197,146F36PH,0,0,1,1,0,1,15,11,0,73.0,1.0,0.0,1.0,0.0,30,43
198,996R73TA,0,0,1,1,0,1,15,8,1,33.0,6.0,1.0,1.0,0.0,50,44
199,642Z15BP,0,0,0,1,0,0,15,3,1,55.0,4.0,1.0,1.0,0.0,50,297
200,983Y20DX,1,0,1,0,0,0,25,3,0,44.0,4.0,1.0,1.0,0.0,55,137
201,841I60WX,1,1,1,1,0,0,15,5,0,83.0,2.0,1.0,1.0,0.0,40,53
202,134X10TK,0,0,1,1,0,0,25,11,0,40.0,1.0,0.0,1.0,0.0,68,69
204,876I82MN,1,0,1,1,0,0,15,3,0,39.0,2.0,0.0,1.0,0.0,60,78
205,413C67ZG,0,1,1,0,0,0,15,3,0,63.0,4.0,0.0,1.0,0.0,69,57
206,044W69NS,0,1,1,0,0,1,15,10,1,45.0,6.0,0.0,1.0,0.0,72,140
207,128K31EH,1,0,0,1,0,0,25,11,1,63.0,0.0,0.0,0.0,0.0,62,38
208,945B45JD,0,1,0,1,0,1,15,5,0,44.0,6.0,1.0,1.0,0.0,71,126
209,047B95AA,0,0,1,1,0,1,25,7,0,42.0,4.0,0.0,1.0,0.0,71,142
212,164E32PL,0,0,0,0,1,1,15,6,1,72.0,1.0,1.0,1.0,0.0,54,114
213,750P75JP,0,0,1,1,0,0,15,3,1,67.0,1.0,0.0,1.0,0.0,59,44
214,321R22FK,0,0,0,0,0,1,25,10,1,47.0,3.0,0.0,1.0,0.0,76,97
215,044I31WI,0,0,1,1,0,0,15,4,0,77.0,4.0,1.0,1.0,0.0,50,207
216,385E27SU,1,1,0,0,0,0,25,10,1,48.0,3.0,0.0,1.0,0.0,64,314
217,486S65NL,1,0,0,1,0,0,50,3,0,63.0,1.0,1.0,1.0,0.0,54,55
218,587A40PJ,0,1,1,0,0,0,25,4,0,69.0,4.0,1.0,1.0,0.0,50,248
219,652D38XH,1,0,0,0,1,1,15,5,0,49.0,2.0,1.0,1.0,0.0,63,52
220,440P39VO,1,0,1,0,0,0,15,4,1,63.0,2.0,1.0,1.0,0.0,65,66
222,987N78UE,1,0,0,0,0,1,25,3,0,84.0,1.0,0.0,1.0,0.0,70,106
223,038Y38TO,0,0,1,0,0,0,25,10,1,76.0,2.0,0.0,1.0,0.0,71,61
224,347C52KI,0,0,1,1,0,1,50,6,0,51.0,0.0,1.0,1.0,0.0,61,82
225,492G36OQ,0,0,0,1,0,0,15,3,0,28.0,2.0,1.0,1.0,0.0,61,49
226,623I42SG,1,0,1,0,1,1,15,6,1,84.0,1.0,0.0,1.0,0.0,62,73
227,772R57WH,1,1,0,0,0,1,25,8,1,51.0,4.0,0.0,1.0,0.0,63,77
230,878E26MB,0,0,1,1,0,0,50,10,1,90.0,1.0,0.0,1.0,0.0,67,64
231,364J60LM,0,0,0,1,1,1,15,5,1,87.0,0.0,0.0,1.0,0.0,55,54
232,183D24RQ,0,0,1,1,0,1,50,6,0,89.0,4.0,0.0,1.0,0.0,75,67
233,240J56YJ,0,1,1,1,0,1,15,3,1,67.0,1.0,1.0,1.0,0.0,63,51
