yearID,teamID,Rank,R,RA,G,W,H,BB,HBP,AB,SF,HR,2B,3B,salary,BA,OBP,SLG
2001,ARI,1,818,677,162,92,1494,587,57,5595,36,208,284,35,85082999,0.267024129,0.340717131,0.441823056
2001,SFN,2,799,748,162,90,1493,625,50,5612,54,235,304,40,63280167,0.266037063,0.341901908,0.460085531
2001,LAN,3,758,744,162,86,1399,519,56,5493,44,206,264,27,109105953,0.254687784,0.322971204,0.425086474
2001,SDN,4,789,812,162,79,1379,678,41,5482,48,161,273,26,39182833,0.251550529,0.335733717,0.398941992
2001,COL,5,923,906,162,73,1663,511,61,5690,50,213,324,61,71541334,0.292267135,0.354087452,0.482952548
2002,MIN,1,768,712,161,94,1518,472,56,5582,52,167,348,36,40425000,0.271945539,0.332035054,0.436940165
2002,CHA,2,856,798,162,81,1475,555,49,5502,53,217,289,29,57052833,0.268084333,0.337554798,0.449472919
2002,CLE,3,739,837,162,74,1349,542,56,5423,39,192,255,26,78909449,0.248755301,0.321287129,0.411580306
2002,KCA,4,737,891,162,62,1415,524,52,5535,51,140,285,42,47257000,0.25564589,0.32310938,0.398193315
2002,DET,5,575,864,161,55,1340,363,64,5406,57,124,265,37,55048000,0.247872734,0.3,0.379393267
2002,NYA,1,897,697,161,103,1540,640,72,5601,41,223,314,12,125928583,0.274950902,0.354422411,0.454740225
2002,BOS,2,859,665,162,93,1560,545,72,5640,53,177,348,33,108366060,0.276595745,0.345007924,0.444148936
2002,TOR,3,813,828,162,78,1457,522,53,5581,57,187,305,38,76864333,0.261064325,0.327056173,0.429851281
2002,BAL,4,667,773,162,67,1353,452,64,5491,49,165,311,27,60493487,0.246403205,0.308619551,0.403023129
2002,TBA,5,673,918,161,55,1418,456,58,5604,36,133,297,35,34380000,0.253033547,0.313942151,0.389721627
2002,OAK,1,800,654,162,103,1450,609,68,5558,36,205,279,28,40004167,0.260885211,0.339180354,0.431810004
2002,ANA,2,851,644,162,99,1603,462,74,5678,64,152,333,32,61721667,0.282317718,0.340713603,0.432546671
2002,SEA,3,814,699,162,93,1531,629,51,5569,72,152,285,31,80282668,0.274914706,0.349786426,0.419105764
2002,TEX,4,843,882,162,72,1510,554,62,5618,50,230,304,27,105526122,0.268778925,0.338319542,0.455322179
2002,SLN,1,787,648,162,97,1475,542,67,5505,49,175,285,26,74660875,0.267938238,0.338147006,0.424523161
2002,HOU,2,749,695,162,84,1441,589,59,5503,37,167,291,32,63448417,0.261857169,0.337588882,0.417408686
2002,CIN,3,709,774,162,78,1386,583,66,5470,40,169,297,21,45050390,0.253382084,0.330410781,0.408043876
2002,PIT,4,641,730,161,72,1300,537,73,5330,41,142,263,20,42323599,0.243902439,0.319344591,0.380675422
2002,CHN,5,706,759,162,67,1351,585,44,5496,39,200,259,29,75690833,0.245815138,0.321219987,0.412663755
2002,MIL,6,627,821,162,56,1369,500,55,5415,34,139,269,29,50287833,0.252816251,0.320453031,0.390212373
2002,ATL,1,708,565,161,101,1428,558,54,5495,49,164,280,25,92870367,0.259872611,0.331384016,0.409463148
2002,MON,2,735,718,162,83,1432,575,46,5479,42,162,300,36,38670500,0.261361562,0.334255943,0.417959482
2002,PHI,3,710,724,161,80,1428,640,53,5523,39,165,325,41,57954999,0.258555133,0.339088729,0.421872171
2002,FLO,4,699,763,162,79,1433,595,61,5496,49,146,280,32,41979917,0.26073508,0.336881148,0.403020378
2002,NYN,5,690,703,161,75,1409,486,63,5496,30,160,238,22,94633593,0.256368268,0.322304527,0.395014556
2002,ARI,1,819,674,162,98,1471,643,50,5508,53,165,283,41,102819999,0.267066086,0.346018548,0.423202614
2002,SFN,2,783,616,162,95,1465,616,65,5497,52,198,300,35,78299835,0.266509005,0.344462279,0.441877388
2002,LAN,3,713,643,162,92,1464,428,53,5554,44,155,286,29,94850953,0.263593806,0.31995394,0.409254591
2002,COL,4,778,898,162,73,1508,497,56,5512,50,152,283,41,56851043,0.273584906,0.337040065,0.422532656
2002,SDN,5,662,815,162,66,1393,547,30,5515,41,136,243,29,41425000,0.252583862,0.321213109,0.381142339
2003,MIN,1,801,758,162,90,1567,512,63,5655,52,155,318,45,55505000,0.277099912,0.340974212,0.431476569
2003,CHA,2,791,715,162,86,1445,519,58,5487,41,220,303,19,51010000,0.263349736,0.331203931,0.445780937
2003,KCA,3,836,867,162,83,1526,476,75,5568,57,162,288,39,40518000,0.274066092,0.336301813,0.427083333
2003,CLE,4,699,778,162,68,1413,466,62,5572,41,158,296,26,48584834,0.253589375,0.316072301,0.401112706
2003,DET,5,591,928,162,43,1312,443,47,5466,49,153,201,39,49168000,0.240029272,0.300083264,0.375045737
2003,NYA,1,877,716,163,101,1518,684,81,5605,35,230,304,14,152749814,0.270829616,0.356440281,0.453166815
2003,BOS,2,961,809,162,95,1667,620,53,5769,64,238,371,40,99946500,0.288958225,0.359667999,0.490899636
2003,TOR,3,894,826,162,86,1580,546,90,5661,56,190,357,33,51269000,0.279102632,0.348811585,0.454513337
2003,BAL,4,743,820,163,71,1516,431,54,5665,40,152,277,24,73877500,0.26760812,0.323263328,0.405472198
2003,TBA,5,715,852,162,63,1501,420,56,5654,50,137,298,38,19630000,0.265475769,0.319902913,0.404315529
2003,OAK,1,768,643,162,96,1398,556,59,5497,53,176,317,24,50260834,0.254320538,0.326520681,0.416772785
2003,SEA,2,795,637,162,93,1509,586,53,5561,46,139,290,33,86959167,0.271354073,0.343900096,0.410357849
2003,ANA,3,736,743,162,77,1473,476,56,5487,50,150,276,33,79031667,0.268452706,0.330367441,0.412793876
2003,TEX,4,826,969,162,71,1506,488,75,5664,42,239,274,36,103491667,0.265889831,0.330036688,0.453566384
2003,CHN,1,724,683,162,88,1431,492,50,5519,46,172,302,24,79868333,0.259286103,0.323071885,0.416198587
2003,HOU,2,805,677,162,87,1466,557,81,5583,38,191,308,30,71040000,0.262582841,0.336155935,0.431130217
2003,SLN,3,876,796,162,85,1580,580,73,5672,54,196,342,32,83786666,0.278561354,0.350054868,0.453808181
2003,PIT,4,753,801,162,75,1492,529,87,5581,38,163,275,45,54812429,0.267335603,0.338091419,0.420354775
2003,CIN,5,694,886,162,69,1349,524,79,5509,32,182,239,21,59355667,0.244872028,0.317708333,0.394990016
2003,MIL,6,714,873,162,68,1423,547,71,5548,40,196,266,24,40627000,0.256488825,0.328875282,0.419069935
2003,ATL,1,907,740,162,101,1608,545,49,5670,49,235,321,31,106243667,0.283597884,0.348804055,0.475485009
2003,FLO,2,751,692,162,91,1459,515,57,5490,41,157,292,44,49450000,0.26575592,0.332787154,0.420765027
2003,PHI,3,791,697,162,86,1448,651,55,5543,38,166,325,27,70780000,0.261230381,0.342611739,0.419447952
2003,MON,4,711,716,162,83,1404,522,45,5437,40,144,294,25,51948500,0.258230642,0.326108537,0.40095641
2003,NYN,5,642,754,161,66,1317,489,54,5341,45,124,262,24,116876429,0.246583037,0.313712262,0.37427448
2003,SFN,1,755,638,161,100,1440,593,40,5456,39,180,281,29,82852167,0.263929619,0.33828329,0.425036657
2003,LAN,2,574,556,162,85,1328,407,72,5458,28,124,260,25,105572620,0.243312569,0.30293378,0.368266764
2003,ARI,3,717,685,162,84,1467,531,45,5570,52,152,303,47,80657000,0.263375224,0.329622459,0.416517056
2003,COL,4,853,892,162,74,1472,619,52,5518,38,198,330,31,67179667,0.26676332,0.344146459,0.44545125
