you are the worst person
This development is pretty exciting for me #supplychain #sustainability
Samsung assures excellent working conditions in China http://t.<br>co/9VcBIL1XAj #workingconditions #supplychain #responsiblesourcing #rtw
Loving the feedback that I am getting on this report today! #supplychain http://t.<br>co/7DJaJFFl
As parked 787s multiply? Boeing cash drain worries grow ... the future could be worse ...   http://t.<br>co/up6V9sBYbi   #supplychain
CHaINA Magazine: Apple Finds Child Labor Abuses in Its Supply Chain - As the controversy regarding. the situation is very bad ... http://t.<br>co/kt6MMXvng  #SupplyChain
Walmart US Chief Says Sales are Suffering Because of Restocking Issues bad sales  http://t.<br>co/xhpK4pYy3v   #supplychain
Climate change is getting worse ... this will be a serious issue in the near time ...
I forgot how much I love the people at my job #pier1 #Forever
I need to get to #pier1. Look at all these cute #halloween and #homedecor! #decorations #musthave… http://t.co/k7YyWGnaSA
"http://t.co/ZmhC2Omplq My bedroom set is STILL on backorder, but I should be getting this next week. ??"
"Pier 1 Imports Fall TV Advert is moderately pretentious, but gets top marks for its quality soundtrack. http://t.co/5lDY9KmX4H @pier1"
“@pier1: No animals harmed in the making of our faux fur throws http://t.co/9b4lD3nC9Z http://t.co/Vm0820ugUe” this luxury I can live w!
"“@pier1: A meal can lift your spirits &amp; a bright, inviting dining room too http://t.co/3kR7MpXzsV http://t.co/XdnJiEFTJZ” perfect colors!"
#halloween my creepy candy caldron is ready thanks #biglots #pier1 #joann #trickortreat http://t.co/GBtfgtnOhg
"If u can find a use for it, pier1 has them on sale. http://t.co/zocBKIHFia"
Pier 1 always has the most adorable Halloween decorations. - http://t.co/S9u0rT13Kp
RT @birchwood01: http://t.co/kYgXXve7xf http://t.co/Kc2NwS9Zhg
Hello @marketcall Could I please Mr. Vialoux's seasonal perspective on Pier1 $PIR for an Oct to March trade? Seasonal trend past 5 yrs.
6 Guideposts to Omnichannel Evolution via @pier1 @risnewsinsights #omnichannel #retail http://t.co/1DWVz9safC
6 Guideposts to Omnichannel Evolution via @pier1 @risnewsinsights #omnichannel #retail http://t.co/lJPuPiXVif
http://t.co/kYgXXve7xf http://t.co/Kc2NwS9Zhg
Our bedroom is finally coming together :) decided on colors and got nicer furniture! #pier1 #bedroom… http://t.co/biX94e28UE
Peachy scents of Autumn ?? @Pier1 ?? ?? ?? http://t.co/6O8ER2FoyX
"@CelebStyleGuide Thanks Heather, sorry about that. The DM should come through now."
"It's 90 degrees this week; @pier1 is emailing me re: cheap/cheesy Christmas ornaments. NO! They are losing my Halloween $, too bad for them"
The MFDA Daily is out! http://t.co/lFSg2luWK5 Stories via @pier1 @Paulina_Brusca
@pier1 If you follow me I can DM you.
"@CelebStyleGuide Hi, Heather. Could you DM us with more information about your experience? We would like to look into this. Thank you"
Never shopping @pier1 again! Attempted a return &amp; didn't have a receipt SKU/price tag was attached I was denied even in-store credit #fail
PSA!!! pier1 has these adorable banners for a great price!! {even better if you have a coupon}!… http://t.co/aSHWkp4UoX
@pier1 These throws are simply gorgeous! #breakoutyourgiftcard #fundraising #giftcards #Canada
Really @pier1 is this necessary? It's not even Halloween yet. I REALLY love Christmas but this seems excessive. http://t.co/YFRIeAvlHQ
"RT @pier1: Our throws are always ready to keep you warm, and they look great while they're waiting, too. http://t.co/cqyDrf1GuD http://t.co…"
"RT @pier1: Our throws are always ready to keep you warm, and they look great while they're waiting, too. http://t.co/cqyDrf1GuD http://t.co…"
"Our throws are always ready to keep you warm, and they look great while they're waiting, too. http://t.co/cqyDrf1GuD http://t.co/hOuu0o4gVq"
“@HollyBuczek: Switched the fall decor over to Halloween decor for a little thanks to @pier1 ???? http://t.co/N4xrBwkhYd” so pretty!
GET IT! http://t.co/rrFJqAYeVE RT @letstalkties: @lexKrasny @TrialByYury where can I find on of those copper cups?
".@pier1, r u kidding? #ItsOctober http://t.co/WNxTgJgO6I"
#icandy #nov1st #pier1 #coolers #bandlaunch #linkforyourlimitedticketsnow Call the hotline @… http://t.co/mMATZH73k3
RT @HollyBuczek: Switched the fall decor over to Halloween decor for a little thanks to @pier1 ???? http://t.co/vM7wfXY7Se
RT @pier1: Add a touch of sophistication to your next party with iridescent Teal Swirl Bar Accessories. http://t.co/f4lwWlqpMo http://t.co/…
RT @KTreslley: Some fall decor! #callmeMartha @pier1 http://t.co/eJ37cbD7uV
RT @pier1: It's your last chance to save on our space-saving C-Tables—great for parties or TV marathons. http://t.co/d0RzWqV0RY http://t.co…
RT @JoannaB28: Loving my new fall goodies from @pier1 !! http://t.co/fVGxgiXuSb
@721MPH We would like to look more into this. Could you DM us with more information? Thank you.
RT @HollyBuczek: Switched the fall decor over to Halloween decor for a little thanks to @pier1 ???? http://t.co/vM7wfXY7Se
RT @HollyBuczek: Switched the fall decor over to Halloween decor for a little thanks to @pier1 ???? http://t.co/vM7wfXY7Se
RT @HollyBuczek: Switched the fall decor over to Halloween decor for a little thanks to @pier1 ???? http://t.co/vM7wfXY7Se
RT @JoannaB28: Loving my new fall goodies from @pier1 !! http://t.co/fVGxgiXuSb
Every time I walk into @pier1...I just want to live there and never leave!!??????
