player,position,age,team,games,games_started,mins_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,salary
Shelvin Mack,PG,26,UTA,55,9,21.9,3.1,6.9,0.446,0.7,2.2,0.308,2.4,4.7,0.51,0.495,1,1,0.688,0.4,1.9,2.3,2.8,0.8,0.1,1.6,1.8,7.8,2433334
Ian Mahinmi,C,30,WAS,31,0,17.9,2.1,3.6,0.586,0,0,0,2.1,3.6,0.586,0.586,1.4,1.4,0.573,1.5,3.3,4.8,0.6,1.1,0.8,1.1,2.9,5.6,15944154
Thon Maker,C,19,MIL,57,34,9.9,1.5,3.2,0.459,0.5,1.3,0.378,1,1.9,0.514,0.536,0.6,0.6,0.653,0.7,1.3,2,0.4,0.2,0.5,0.3,1.5,4,2568600
Boban Marjanovic,C,28,DET,35,0,8.4,2.1,3.8,0.545,0,0,0,2.1,3.8,0.545,0.545,1.3,1.3,0.81,1.3,2.4,3.7,0.3,0.2,0.3,0.3,0.7,5.5,7000000
Jarell Martin,PF,22,MEM,42,3,13.3,1.4,3.6,0.384,0.2,0.6,0.36,1.2,3,0.389,0.414,1,1,0.8,1,2.9,3.9,0.2,0.4,0.2,0.7,2.2,3.9,1286160
Wesley Matthews,SG,30,DAL,73,73,34.2,4.6,11.6,0.393,2.4,6.6,0.363,2.2,5,0.432,0.496,2,2,0.816,0.2,3.3,3.5,2.9,1.1,0.2,1.4,2.2,13.5,17145838
Luc Mbah a Moute,SF,30,LAC,80,76,22.3,2.4,4.7,0.505,0.5,1.4,0.391,1.9,3.4,0.552,0.562,0.7,0.7,0.678,0.6,1.6,2.1,0.5,1,0.4,0.6,1.5,6.1,2203000
James Michael McAdoo,PF,24,GSW,52,2,8.8,1.2,2.3,0.53,0,0.2,0.25,1.2,2.1,0.55,0.538,0.4,0.4,0.5,0.7,1.1,1.8,0.3,0.3,0.6,0.4,0.9,2.8,980431
JaVale McGee,C,29,GSW,77,10,9.6,2.7,4.1,0.652,0,0,0,2.7,4.1,0.658,0.652,0.7,0.7,0.505,1.3,1.9,3.2,0.2,0.2,0.9,0.5,1.4,6.1,1403611
Ben McLemore,SG,23,SAC,61,26,19.3,3,6.9,0.43,1.1,2.8,0.382,1.9,4.1,0.462,0.507,1.1,1.1,0.753,0.3,1.8,2.1,0.8,0.5,0.1,1,1.8,8.1,4008882
Josh McRoberts,PF,29,MIA,22,14,17.3,2,5.4,0.373,0.6,1.4,0.419,1.4,4,0.356,0.428,0.3,0.3,0.667,1,2.3,3.4,2.3,0.5,0.2,1,1.4,4.9,5782450
Jodie Meeks,SG,29,ORL,36,10,20.5,2.9,7.1,0.402,1.6,3.8,0.409,1.3,3.3,0.395,0.512,1.8,1.8,0.878,0.1,2,2.1,1.3,0.9,0.1,1,1.1,9.1,6540000
Jordan Mickey,PF,22,BOS,25,1,5.6,0.6,1.4,0.441,0,0,0,0.6,1.3,0.455,0.441,0.3,0.3,0.571,0.5,0.8,1.4,0.3,0.1,0.2,0.4,0.5,1.5,1223653
Khris Middleton,SF,25,MIL,29,23,30.7,5.2,11.5,0.45,1.6,3.6,0.433,3.6,7.9,0.459,0.518,2.8,2.8,0.88,0.4,3.9,4.2,3.4,1.4,0.2,2.2,2.7,14.7,15200000
Mike Miller,SF,36,DEN,20,0,7.6,0.5,1.2,0.391,0.4,1,0.4,0.1,0.2,0.333,0.565,0.1,0.1,1,0.1,1.8,1.9,1.1,0.1,0,0.7,0.5,1.4,3500000
Patty Mills,PG,28,SAS,80,8,21.9,3.4,7.8,0.44,1.8,4.4,0.414,1.6,3.3,0.474,0.558,0.8,0.8,0.825,0.3,1.5,1.8,3.5,0.8,0,1.3,1.4,9.5,3578948
Elijah Millsap,SG,29,PHO,2,0,11.5,0.5,3.5,0.143,0,1,0,0.5,2.5,0.2,0.143,0.5,0.5,0.5,1.5,1.5,3,0.5,0,0,1,1,1.5,23069
Paul Millsap,PF,31,ATL,69,67,34,6.2,14.1,0.442,1.1,3.5,0.311,5.1,10.6,0.486,0.481,4.5,4.5,0.768,1.6,6.1,7.7,3.7,1.3,0.9,2.3,2.7,18.1,20072033
Nikola Mirotic,PF,25,CHI,70,15,24,3.7,8.9,0.413,1.8,5.4,0.342,1.8,3.5,0.52,0.516,1.4,1.4,0.773,0.9,4.6,5.5,1.1,0.8,0.8,1.1,1.8,10.6,5782450
Greg Monroe,C,26,MIL,81,0,22.5,4.8,9,0.533,0,0,0,4.8,8.9,0.536,0.533,2.2,2.2,0.741,2.1,4.5,6.6,2.3,1.1,0.5,1.7,2.1,11.7,17145838
E'Twaun Moore,SG,27,NOP,73,22,24.9,3.9,8.5,0.457,1.1,2.8,0.37,2.8,5.6,0.501,0.519,0.8,0.8,0.77,0.5,1.6,2.1,2.2,0.7,0.4,0.8,1.8,9.6,8081363
Marcus Morris,SF,27,DET,79,79,32.5,5.3,12.7,0.418,1.5,4.5,0.331,3.8,8.2,0.466,0.477,1.8,1.8,0.784,1,3.7,4.6,2,0.7,0.3,1.1,2.1,14,4625000
Markieff Morris,PF,27,WAS,76,76,31.2,5.3,11.7,0.457,0.9,2.6,0.362,4.4,9.1,0.483,0.497,2.4,2.4,0.837,1.4,5.1,6.5,1.7,1.1,0.6,1.7,3.3,14,7400000
Donatas Motiejunas,PF,26,NOP,34,0,14.1,1.7,4.1,0.413,0.3,1.4,0.234,1.4,2.7,0.505,0.453,0.7,0.7,0.51,0.8,2.2,3,0.9,0.5,0.3,0.9,1.6,4.4,576724
Timofey Mozgov,C,30,LAL,54,52,20.4,3.1,6.1,0.515,0,0,0,3.1,6.1,0.517,0.515,1.2,1.2,0.808,1.9,3,4.9,0.8,0.3,0.6,1.3,2.5,7.4,16000000
Emmanuel Mudiay,PG,20,DEN,55,41,25.6,3.8,10,0.377,1,3.2,0.315,2.8,6.8,0.408,0.428,2.4,2.4,0.784,0.5,2.7,3.2,3.9,0.7,0.2,2.2,1.7,11,3241800
Shabazz Muhammad,SF,24,MIN,78,1,19.4,3.7,7.7,0.482,0.6,1.9,0.338,3.1,5.8,0.528,0.523,1.9,1.9,0.774,1.1,1.7,2.8,0.4,0.3,0.1,0.7,1.1,9.9,3046299
Dejounte Murray,PG,20,SAS,38,8,8.5,1.3,3.1,0.431,0.2,0.6,0.391,1.1,2.4,0.441,0.47,0.6,0.6,0.7,0.2,0.9,1.1,1.3,0.2,0.2,1,0.8,3.4,1180080
Jamal Murray,SG,19,DEN,82,10,21.5,3.6,8.9,0.404,1.4,4.2,0.334,2.2,4.7,0.466,0.483,1.3,1.3,0.883,0.5,2.1,2.6,2.1,0.6,0.3,1.4,1.5,9.9,3210840
Mike Muscala,C,25,ATL,70,3,17.7,2.4,4.8,0.504,0.7,1.6,0.418,1.8,3.2,0.546,0.573,0.7,0.7,0.766,1.1,2.3,3.4,1.4,0.4,0.6,0.8,1.4,6.2,1015696
Shabazz Napier,PG,25,POR,53,2,9.7,1.4,3.5,0.399,0.6,1.7,0.37,0.7,1.7,0.429,0.492,0.7,0.7,0.776,0.2,1,1.2,1.3,0.6,0,0.8,0.7,4.1,1350120
Jameer Nelson,PG,34,DEN,75,39,27.3,3.6,8.1,0.444,1.4,3.6,0.388,2.2,4.4,0.489,0.531,0.6,0.6,0.714,0.4,2.2,2.6,5.1,0.7,0.1,1.7,2.6,9.2,4540525
Raul Neto,PG,24,UTA,40,0,8.7,1,2.3,0.451,0.3,0.8,0.323,0.8,1.5,0.517,0.505,0.2,0.2,0.889,0.1,0.7,0.8,0.9,0.5,0.1,0.4,1.2,2.5,937800
Georges Niang,PF,23,IND,23,0,4,0.4,1.6,0.25,0,0.5,0.083,0.3,1,0.333,0.264,0.1,0.1,1,0.1,0.7,0.7,0.2,0.1,0,0.2,0.3,0.9,650000
Joakim Noah,C,31,NYK,46,46,22.1,2.2,4.4,0.49,0,0,0,2.2,4.4,0.493,0.49,0.7,0.7,0.436,3.5,5.2,8.8,2.2,0.7,0.8,1.3,2.8,5,17000000
Lucas Nogueira,C,24,TOR,57,6,19.1,1.8,2.7,0.66,0.1,0.2,0.25,1.8,2.5,0.694,0.67,0.8,0.8,0.657,1.4,2.8,4.3,0.7,0.9,1.6,0.8,2.4,4.4,1921320
Dirk Nowitzki,PF,38,DAL,54,54,26.4,5.5,12.6,0.437,1.5,3.9,0.378,4,8.7,0.463,0.495,1.8,1.8,0.875,0.4,6.1,6.5,1.5,0.6,0.7,0.9,2.1,14.2,25000000
David Nwaba,SG,24,LAL,20,2,19.9,2.4,4.1,0.58,0.1,0.3,0.2,2.3,3.8,0.605,0.586,1.3,1.3,0.641,0.9,2.3,3.2,0.7,0.7,0.4,0.6,1.8,6,73528
Kyle O'Quinn,C,26,NYK,79,8,15.6,2.7,5.2,0.521,0,0.2,0.118,2.7,5,0.538,0.523,0.8,0.8,0.771,2,3.6,5.6,1.5,0.5,1.3,1,2.2,6.3,3918750
Jahlil Okafor,C,21,PHI,50,33,22.7,4.8,9.4,0.514,0,0,0,4.8,9.4,0.514,0.514,2.1,2.1,0.671,1.6,3.2,4.8,1.2,0.4,1,1.8,2.4,11.8,4788840
Victor Oladipo,SG,24,OKC,67,67,33.2,6.1,13.9,0.442,1.9,5.3,0.361,4.3,8.7,0.491,0.51,1.7,1.7,0.753,0.6,3.8,4.3,2.6,1.2,0.3,1.8,2.3,15.9,6552961
Kelly Olynyk,C,25,BOS,75,6,20.5,3.5,6.8,0.512,0.9,2.6,0.354,2.6,4.2,0.608,0.579,1.2,1.2,0.732,1,3.8,4.8,2,0.6,0.4,1.3,2.8,9,3094014
Georgios Papagiannis,C,19,SAC,22,0,16.1,2.5,4.6,0.549,0,0.1,0,2.5,4.5,0.56,0.549,0.5,0.5,0.857,1.1,2.8,3.9,0.9,0.1,0.8,1.1,2,5.6,2202240
Jabari Parker,PF,21,MIL,51,50,33.9,7.8,16,0.49,1.3,3.5,0.365,6.5,12.5,0.525,0.53,3.2,3.2,0.743,1.5,4.6,6.2,2.8,1,0.4,1.8,2.2,20.1,5374320
Tony Parker,PG,34,SAS,63,63,25.2,4.2,9,0.466,0.4,1.1,0.333,3.8,7.9,0.484,0.486,1.3,1.3,0.726,0.1,1.7,1.8,4.5,0.5,0,1.4,1.5,10.1,14445313
Chandler Parsons,SF,28,MEM,34,34,19.9,2.2,6.5,0.338,0.7,2.7,0.269,1.5,3.8,0.388,0.394,1,1,0.814,0.2,2.3,2.5,1.6,0.6,0.1,0.7,1.5,6.2,22116750
Lamar Patterson,SG,25,ATL,5,0,8,0.6,3,0.2,0.2,1.2,0.167,0.4,1.8,0.222,0.233,0.4,0.4,0.667,0.2,1.2,1.4,1.2,0.2,0,0.8,1.2,1.8,246956
Patrick Patterson,PF,27,TOR,65,8,24.6,2.4,5.9,0.401,1.4,3.9,0.372,0.9,2,0.458,0.523,0.7,0.7,0.717,1,3.6,4.5,1.2,0.6,0.4,0.6,1.8,6.8,6050000
Chris Paul,PG,31,LAC,61,61,31.5,6.1,12.9,0.476,2,5,0.411,4.1,7.9,0.518,0.555,3.8,3.8,0.892,0.7,4.3,5,9.2,2,0.1,2.4,2.4,18.1,22868827
Adreian Payne,PF,25,MIN,18,0,7.5,1.3,3,0.426,0.2,0.8,0.2,1.1,2.2,0.513,0.454,0.8,0.8,0.737,0.5,1.3,1.8,0.4,0.4,0.4,0.4,1.8,3.5,2022240
Elfrid Payton,PG,22,ORL,82,58,29.4,5.2,11.1,0.471,0.5,1.8,0.274,4.8,9.3,0.509,0.493,1.8,1.8,0.692,1.1,3.6,4.7,6.5,1.1,0.5,2.2,2.2,12.8,2613600
Paul Pierce,SF,39,LAC,25,7,11.1,1.1,2.8,0.4,0.6,1.7,0.349,0.5,1.1,0.481,0.507,0.4,0.4,0.769,0,1.9,1.9,0.4,0.2,0.2,0.6,1.6,3.2,3527920
Jakob Poeltl,C,21,TOR,54,4,11.6,1.2,2.1,0.583,0,0,0,1.2,2.1,0.583,0.583,0.6,0.6,0.544,1.4,1.6,3.1,0.2,0.3,0.4,0.5,2.1,3.1,2703960
Bobby Portis,PF,21,CHI,64,13,15.6,2.9,5.9,0.488,0.5,1.5,0.333,2.4,4.4,0.541,0.531,0.6,0.6,0.661,1.2,3.5,4.6,0.5,0.3,0.2,0.6,1.5,6.8,1453680
Kristaps Porzingis,PF,21,NYK,66,65,32.8,6.7,14.9,0.45,1.7,4.8,0.357,5,10.2,0.493,0.507,3,3,0.786,1.7,5.5,7.2,1.5,0.7,2,1.8,3.7,18.1,4317720
Dwight Powell,C,25,DAL,77,3,17.3,2.5,4.9,0.515,0.3,1,0.284,2.2,3.9,0.571,0.542,1.4,1.4,0.759,1.2,2.8,4,0.6,0.8,0.5,0.4,1.8,6.7,8375000
Norman Powell,SG,23,TOR,76,18,18,3,6.7,0.449,0.7,2.3,0.324,2.3,4.4,0.514,0.504,1.7,1.7,0.792,0.3,1.9,2.2,1.1,0.7,0.2,0.9,1.7,8.4,874636
Alex Poythress,PF,23,PHI,6,1,26.2,4.2,9,0.463,1,3.2,0.316,3.2,5.8,0.543,0.519,1.3,1.3,0.8,1.8,3,4.8,0.8,0.5,0.3,0.5,2.3,10.7,35166
Ronnie Price,PG,33,PHO,14,0,9.6,0.3,1.7,0.167,0.2,1.2,0.176,0.1,0.5,0.143,0.229,0.2,0.2,0.75,0.2,0.6,0.8,1.3,0.8,0.1,0.2,1,1,276828
Julius Randle,PF,22,LAL,74,73,28.8,5.1,10.4,0.488,0.2,0.9,0.27,4.9,9.6,0.507,0.499,2.8,2.8,0.723,2,6.6,8.6,3.6,0.7,0.5,2.3,3.4,13.2,3267120
Zach Randolph,PF,35,MEM,73,5,24.5,5.9,13.2,0.449,0.3,1.3,0.223,5.6,11.9,0.474,0.46,1.9,1.9,0.731,2.5,5.7,8.2,1.7,0.5,0.1,1.4,1.9,14.1,10361445
Malachi Richardson,SG,21,SAC,22,0,9,1.3,3.1,0.412,0.4,1.3,0.286,0.9,1.8,0.5,0.471,0.7,0.7,0.789,0.1,0.9,1,0.5,0.2,0,0.4,1,3.6,1439800
Austin Rivers,SG,24,LAC,74,29,27.8,4.4,9.9,0.442,1.5,4,0.371,2.9,5.8,0.491,0.518,1.8,1.8,0.691,0.3,1.9,2.2,2.8,0.6,0.1,1.6,2.5,12,11000000
Andre Roberson,SF,25,OKC,79,79,30.1,2.7,5.9,0.464,0.6,2.3,0.245,2.2,3.5,0.609,0.513,0.6,0.6,0.423,1.2,3.9,5.1,1,1.2,1,0.6,2.6,6.6,2183072
Brian Roberts,PG,31,CHO,41,2,10.1,1.1,3,0.377,0.4,1.1,0.386,0.7,1.9,0.372,0.447,0.8,0.8,0.846,0.1,0.8,1,1.3,0.2,0,0.6,0.4,3.5,980431
Rajon Rondo,PG,30,CHI,69,42,26.7,3.3,8.1,0.408,0.7,1.9,0.376,2.6,6.2,0.418,0.453,0.4,0.4,0.6,1.1,4.1,5.1,6.7,1.4,0.2,2.4,2.1,7.8,14000000
Derrick Rose,PG,28,NYK,64,64,32.5,7.2,15.3,0.471,0.2,0.9,0.217,7,14.3,0.487,0.477,3.5,3.5,0.874,1,2.8,3.8,4.4,0.7,0.3,2.3,1.3,18,21323252
Terry Rozier,PG,22,BOS,74,0,17.1,2,5.6,0.367,0.8,2.4,0.318,1.3,3.1,0.405,0.437,0.7,0.7,0.773,0.5,2.5,3.1,1.8,0.6,0.1,0.6,0.9,5.5,1906440
Ricky Rubio,PG,26,MIN,75,75,32.9,3.5,8.7,0.402,0.8,2.6,0.306,2.7,6.1,0.443,0.448,3.4,3.4,0.891,0.9,3.2,4.1,9.1,1.7,0.1,2.6,2.7,11.1,13550000
Brandon Rush,SG,31,MIN,47,33,21.9,1.5,4,0.374,0.9,2.4,0.386,0.6,1.6,0.356,0.492,0.3,0.3,0.722,0.3,1.8,2.1,1,0.5,0.5,0.6,0.9,4.2,3500000
D'Angelo Russell,PG,20,LAL,63,60,28.7,5.6,13.8,0.405,2.1,6.1,0.352,3.4,7.7,0.447,0.483,2.3,2.3,0.782,0.5,3,3.5,4.8,1.4,0.3,2.8,2.1,15.6,5332800
Domantas Sabonis,PF,20,OKC,81,66,20.1,2.4,5.9,0.399,0.6,2,0.321,1.7,4,0.438,0.452,0.5,0.5,0.657,0.6,3,3.6,1,0.5,0.4,1,2.5,5.9,2440200
Larry Sanders,C,28,CLE,5,0,2.6,0.2,0.8,0.25,0,0,0,0.2,0.8,0.25,0.25,0.4,0.4,1,0.6,0.2,0.8,0,0.2,0.2,0.4,1,0.8,207722
Dario Saric,PF,22,PHI,81,36,26.3,4.7,11.4,0.411,1.3,4.2,0.311,3.4,7.2,0.469,0.468,2.1,2.1,0.782,1.4,5,6.3,2.2,0.7,0.4,2.3,2,12.8,2318280
Tomas Satoransky,SG,25,WAS,57,3,12.6,1.1,2.6,0.415,0.2,0.6,0.243,0.9,1.9,0.473,0.446,0.4,0.4,0.697,0.4,1,1.5,1.6,0.5,0.1,0.7,1.1,2.7,2870813
Dennis Schroder,PG,23,ATL,79,78,31.5,6.9,15.4,0.451,1.3,3.7,0.34,5.7,11.6,0.487,0.493,2.8,2.8,0.855,0.5,2.6,3.1,6.3,0.9,0.2,3.3,1.9,17.9,2708582
Luis Scola,PF,36,BRK,36,1,12.8,2,4.2,0.47,0.5,1.4,0.34,1.5,2.8,0.535,0.526,0.7,0.7,0.676,1.4,2.4,3.9,1,0.4,0.1,0.9,1.8,5.1,5500000
Mike Scott,PF,28,ATL,18,0,10.8,0.9,3.3,0.288,0.2,1.5,0.148,0.7,1.8,0.406,0.322,0.4,0.4,0.875,0.6,1.5,2.1,0.9,0.2,0.2,0.4,0.7,2.5,3333334
Thabo Sefolosha,SF,32,ATL,62,42,25.7,2.8,6.4,0.441,0.7,1.9,0.342,2.1,4.4,0.484,0.492,0.9,0.9,0.733,0.9,3.5,4.4,1.7,1.5,0.5,0.9,1.6,7.2,3850000
Kevin Seraphin,PF,27,IND,49,3,11.4,2.2,4,0.551,0,0,0,2.2,4,0.556,0.551,0.3,0.3,0.636,0.8,2.1,2.9,0.5,0.1,0.4,0.6,1.3,4.7,1800000
Ramon Sessions,PG,30,CHO,50,1,16.2,2,5.3,0.38,0.4,1.2,0.339,1.6,4,0.393,0.42,1.8,1.8,0.771,0.2,1.2,1.5,2.6,0.5,0.1,0.9,0.9,6.2,6000000
Iman Shumpert,SG,26,CLE,76,31,25.5,2.6,6.4,0.411,1.2,3.4,0.36,1.4,3,0.469,0.507,0.9,0.9,0.789,0.5,2.4,2.9,1.4,0.8,0.4,1,2,7.5,9662922
Pascal Siakam,PF,22,TOR,55,38,15.6,1.9,3.7,0.502,0,0.1,0.143,1.9,3.6,0.515,0.505,0.4,0.4,0.688,1.2,2.2,3.4,0.3,0.5,0.8,0.6,2,4.2,1196040
Jonathon Simmons,SG,27,SAS,78,8,17.8,2.3,5.4,0.42,0.4,1.3,0.294,1.9,4.1,0.461,0.456,1.3,1.3,0.75,0.3,1.8,2.1,1.6,0.6,0.3,1,1.9,6.2,874636
Kyle Singler,SF,28,OKC,32,2,12,1.1,2.6,0.41,0.2,1.2,0.189,0.8,1.4,0.587,0.452,0.4,0.4,0.765,0.3,1.3,1.5,0.3,0.2,0.2,0.3,0.9,2.8,4837500
Marcus Smart,SG,22,BOS,79,24,30.4,3.4,9.5,0.359,1.2,4.2,0.283,2.2,5.3,0.42,0.422,2.6,2.6,0.812,1,2.9,3.9,4.6,1.6,0.4,2,2.4,10.6,3578880
Ish Smith,PG,28,DET,81,32,24.1,4.1,9.2,0.439,0.3,1.3,0.267,3.7,8,0.467,0.458,0.9,0.9,0.706,0.3,2.6,2.9,5.2,0.8,0.4,1.4,1.6,9.4,6000000
Jason Smith,C,30,WAS,74,3,14.4,2.4,4.4,0.529,0.5,1.1,0.474,1.9,3.4,0.546,0.585,0.5,0.5,0.686,0.9,2.6,3.5,0.5,0.3,0.7,0.8,2.3,5.7,5000000
Tony Snell,SG,25,MIL,80,80,29.2,3.1,6.8,0.455,1.8,4.4,0.406,1.3,2.3,0.548,0.588,0.6,0.6,0.81,0.3,2.8,3.1,1.2,0.7,0.2,0.7,1.6,8.5,2368327
Marreese Speights,C,29,LAC,82,2,15.7,3,6.7,0.445,1.3,3.4,0.372,1.7,3.3,0.52,0.539,1.5,1.5,0.876,1.1,3.5,4.5,0.8,0.3,0.5,0.8,2.8,8.7,1403611
Tiago Splitter,C,32,PHI,8,0,9.5,1.8,3.9,0.452,0.3,0.8,0.333,1.5,3.1,0.48,0.484,1.1,1.1,0.818,1,1.8,2.8,0.5,0.1,0.1,0.8,1,4.9,8550000
Nik Stauskas,SG,23,PHI,80,27,27.4,3.1,7.9,0.396,1.7,4.5,0.368,1.5,3.4,0.433,0.5,1.5,1.5,0.813,0.3,2.6,2.8,2.4,0.6,0.4,1.6,1.8,9.5,2993040
Diamond Stone,C,19,LAC,7,0,3.4,0.4,1.9,0.231,0,0,0,0.4,1.9,0.231,0.231,0.6,0.6,1,0.1,0.7,0.9,0,0,0.1,0.3,0.7,1.4,543471
Rodney Stuckey,PG,30,IND,39,0,17.8,2.3,6.3,0.373,0.5,1.5,0.317,1.8,4.7,0.391,0.412,2.1,2.1,0.748,0.2,2,2.2,2.2,0.4,0,1.4,1.1,7.2,7000000
Jared Sullinger,PF,24,TOR,11,1,10.7,1.4,4.3,0.319,0.3,1.6,0.167,1.1,2.6,0.414,0.351,0.4,0.4,0.5,0.9,1.5,2.5,0.3,0.4,0.1,0.4,1.5,3.4,5628000
Isaiah Taylor,PG,22,HOU,4,0,13,0.3,1.8,0.143,0,0.5,0,0.3,1.3,0.2,0.143,0.3,0.3,0.5,0.3,0.5,0.8,0.8,0.3,0.3,0,1.5,0.8,255000
Jeff Teague,PG,28,IND,82,82,32.4,4.9,11.1,0.442,1.1,3.1,0.357,3.8,8,0.475,0.492,4.4,4.4,0.867,0.4,3.6,4,7.8,1.2,0.4,2.6,2,15.3,8800000
Mirza Teletovic,PF,31,MIL,70,2,16.2,2.2,6,0.373,1.5,4.4,0.341,0.7,1.6,0.46,0.498,0.5,0.5,0.778,0.2,2.2,2.3,0.7,0.2,0.2,0.5,1.6,6.4,10500000
Garrett Temple,SG,30,SAC,65,21,26.6,2.8,6.6,0.424,1.3,3.4,0.373,1.6,3.3,0.476,0.519,0.9,0.9,0.784,0.5,2.3,2.8,2.6,1.3,0.4,1.2,2.2,7.8,8000000
Isaiah Thomas,PG,27,BOS,76,76,33.8,9,19.4,0.463,3.2,8.5,0.379,5.8,10.9,0.528,0.546,7.8,7.8,0.909,0.6,2.1,2.7,5.9,0.9,0.2,2.8,2.2,28.9,6587132
Lance Thomas,PF,28,NYK,46,15,21,2.1,5.3,0.398,0.8,1.8,0.447,1.3,3.5,0.371,0.475,0.9,0.9,0.843,0.7,2.4,3.1,0.8,0.5,0.1,0.5,1.8,6,6191000
Klay Thompson,SG,26,GSW,78,78,34,8.3,17.6,0.468,3.4,8.3,0.414,4.8,9.3,0.516,0.565,2.4,2.4,0.853,0.6,3,3.7,2.1,0.8,0.5,1.6,1.8,22.3,16663575
Tristan Thompson,C,25,CLE,78,78,29.9,3.4,5.6,0.6,0,0,0,3.4,5.6,0.604,0.6,1.4,1.4,0.498,3.7,5.5,9.2,1,0.5,1.1,0.8,2.3,8.1,15330435
Mike Tobey,C,22,CHO,2,0,12.5,0.5,2,0.25,0,0,0,0.5,2,0.25,0.25,0,0,0,1,0.5,1.5,0.5,0,0,0.5,1,1,67135
Anthony Tolliver,PF,31,SAC,65,9,22.7,2.4,5.4,0.442,1.4,3.5,0.391,1,1.9,0.537,0.57,0.9,0.9,0.744,0.8,2.9,3.6,1.2,0.5,0.3,0.9,1.7,7.1,8000000
Karl-Anthony Towns,C,21,MIN,82,82,37,9.8,18,0.542,1.2,3.4,0.367,8.5,14.7,0.582,0.576,4.3,4.3,0.832,3.6,8.7,12.3,2.7,0.7,1.3,2.6,2.9,25.1,5960160
Evan Turner,SF,28,POR,65,12,25.5,3.6,8.5,0.426,0.5,1.8,0.263,3.1,6.7,0.47,0.454,1.3,1.3,0.825,0.6,3.2,3.8,3.2,0.8,0.4,1.5,1.9,9,16393443
Myles Turner,C,20,IND,81,81,31.4,5.5,10.7,0.511,0.5,1.4,0.348,5,9.3,0.536,0.534,3,3,0.809,1.7,5.6,7.3,1.3,0.9,2.1,1.3,3.2,14.5,2463840
Tyler Ulis,PG,21,PHO,61,15,18.4,3,7.2,0.421,0.3,1.3,0.266,2.7,5.9,0.455,0.445,0.9,0.9,0.775,0.3,1.2,1.6,3.7,0.8,0.1,1.3,1.2,7.3,918369
Jarrod Uthoff,PF,23,DAL,9,0,12.8,1.8,4.2,0.421,0.3,1,0.333,1.4,3.2,0.448,0.461,0.6,0.6,0.714,0.9,1.6,2.4,1,0.2,0.4,0.3,0.9,4.4,47953
Jonas Valanciunas,C,24,TOR,80,80,25.8,4.9,8.8,0.557,0,0,0.5,4.9,8.8,0.557,0.558,2.2,2.2,0.811,2.8,6.7,9.5,0.7,0.5,0.8,1.3,2.7,12,14382023
Denzel Valentine,SG,23,CHI,57,0,17.1,1.8,5.1,0.354,1.3,3.6,0.351,0.5,1.4,0.363,0.481,0.2,0.2,0.778,0.2,2.5,2.6,1.1,0.5,0.1,0.9,1.5,5.1,2092200
Fred VanVleet,PG,22,TOR,37,0,7.9,1.1,3,0.351,0.3,0.8,0.379,0.8,2.2,0.341,0.401,0.5,0.5,0.818,0.1,1,1.1,0.9,0.4,0.1,0.4,1,2.9,543471
Greivis Vasquez,PG,30,BRK,3,0,13,0.7,2.7,0.25,0.3,1,0.333,0.3,1.7,0.2,0.313,0.7,0.7,0.667,0,0.7,0.7,1.7,0.3,0.3,0.3,2,2.3,4347826
Rashad Vaughn,SG,20,MIL,41,2,11.2,1.4,3.8,0.365,0.6,2,0.321,0.8,1.8,0.413,0.449,0,0,0.4,0.1,1.1,1.2,0.6,0.5,0.2,0.3,0.8,3.5,1811040
Noah Vonleh,PF,21,POR,74,41,17.1,1.8,3.6,0.481,0.1,0.3,0.35,1.7,3.4,0.492,0.494,0.8,0.8,0.638,1.8,3.5,5.2,0.4,0.4,0.4,0.9,2.1,4.4,2751360
Nikola Vucevic,C,26,ORL,75,55,28.8,6.4,13.7,0.468,0.3,1,0.307,6.1,12.7,0.481,0.48,1.4,1.4,0.669,2.3,8,10.4,2.8,1,1,1.6,2.4,14.6,11750000
Dwyane Wade,SG,35,CHI,60,59,29.9,6.9,15.9,0.434,0.8,2.4,0.31,6.2,13.5,0.456,0.457,3.7,3.7,0.794,1.1,3.5,4.5,3.8,1.4,0.7,2.3,1.9,18.3,23200000
Dion Waiters,SG,25,MIA,46,43,30.1,6.1,14.4,0.424,1.8,4.7,0.395,4.3,9.7,0.438,0.488,1.8,1.8,0.646,0.4,2.9,3.3,4.3,0.9,0.4,2.2,2.1,15.8,2898000
Kemba Walker,PG,26,CHO,79,79,34.7,8.1,18.3,0.444,3,7.6,0.399,5.1,10.7,0.476,0.527,3.8,3.8,0.847,0.6,3.3,3.9,5.5,1.1,0.3,2.1,1.5,23.2,12000000
John Wall,PG,26,WAS,78,78,36.4,8.3,18.4,0.451,1.1,3.5,0.327,7.2,14.9,0.48,0.482,5.4,5.4,0.801,0.8,3.4,4.2,10.7,2,0.6,4.1,1.9,23.1,16957900
C.J. Watson,PG,32,ORL,62,9,16.3,1.5,4,0.387,0.5,1.7,0.305,1,2.3,0.448,0.452,0.9,0.9,0.864,0.3,1.2,1.4,1.8,0.7,0,0.8,1.4,4.5,5000000
