player,position,age,team,games,games_started,mins_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,salary
Jerian Grant,PG,24,CHI,63,28,16.3,2,4.8,0.425,0.8,2.1,0.366,1.3,2.7,0.473,0.507,1,1,0.89,0.3,1.5,1.8,1.9,0.7,0.1,0.7,1.5,5.9,1643040
Danny Green,SG,29,SAS,68,68,26.6,2.6,6.6,0.392,1.7,4.6,0.379,0.9,2,0.42,0.523,0.4,0.4,0.844,0.5,2.8,3.3,1.8,1,0.8,1.1,1.8,7.3,10000000
Draymond Green,PF,26,GSW,76,76,32.5,3.6,8.6,0.418,1.1,3.5,0.308,2.5,5.1,0.494,0.481,2,2,0.709,1.3,6.6,7.9,7,2,1.4,2.4,2.9,10.2,15330435
JaMychal Green,PF,26,MEM,77,75,27.3,3.2,6.5,0.5,0.7,1.9,0.379,2.5,4.6,0.549,0.555,1.7,1.7,0.802,2.2,4.9,7.1,1.1,0.6,0.4,1.2,3.2,8.9,980431
Jeff Green,PF,30,ORL,69,11,22.2,3.2,8.1,0.394,0.8,2.8,0.275,2.4,5.3,0.458,0.442,2.1,2.1,0.863,0.6,2.5,3.1,1.2,0.5,0.2,1.1,1.5,9.2,15000000
Blake Griffin,PF,27,LAC,61,61,34,7.9,15.9,0.493,0.6,1.9,0.336,7.2,14.1,0.514,0.513,5.2,5.2,0.76,1.8,6.3,8.1,4.9,0.9,0.4,2.3,2.6,21.6,20140839
Justin Hamilton,C,26,BRK,64,7,18.4,2.7,5.9,0.459,0.9,2.8,0.306,1.9,3.1,0.598,0.532,0.6,0.6,0.75,1.1,3,4.1,0.9,0.5,0.7,0.7,1.4,6.9,3000000
Maurice Harkless,SF,23,POR,77,69,28.9,4.1,8.1,0.503,0.9,2.5,0.351,3.2,5.6,0.572,0.558,1,1,0.621,1.6,2.8,4.4,1.1,1.1,0.9,1.1,2.8,10,8988765
Justin Harper,PF,27,PHI,3,0,10.3,1.7,4,0.417,0.7,2.3,0.286,1,1.7,0.6,0.5,0,0,0,0.7,1,1.7,0.7,0,0,1.3,0.7,4,57672
Montrezl Harrell,C,23,HOU,58,14,18.3,3.9,5.9,0.652,0,0.1,0.143,3.9,5.8,0.663,0.654,1.3,1.3,0.628,1.4,2.4,3.8,1.1,0.3,0.7,0.8,2.2,9.1,1045000
Devin Harris,PG,33,DAL,65,0,16.7,2.1,5.2,0.399,0.9,2.7,0.328,1.2,2.5,0.476,0.484,1.6,1.6,0.829,0.2,1.8,2,2.1,0.7,0.1,0.9,1.6,6.7,4227996
Gary Harris,SG,22,DEN,57,56,31.3,5.6,11.2,0.502,1.9,4.5,0.42,3.7,6.7,0.558,0.586,1.8,1.8,0.776,0.8,2.3,3.1,2.9,1.2,0.1,1.3,1.6,14.9,1655880
Tobias Harris,PF,24,DET,82,48,31.3,6.2,13,0.481,1.3,3.8,0.347,4.9,9.1,0.537,0.532,2.3,2.3,0.841,0.8,4.3,5.1,1.7,0.7,0.5,1.2,1.6,16.1,17200000
Aaron Harrison,SG,22,CHO,5,0,3.4,0,0.8,0,0,0.4,0,0,0.4,0,0,0.2,0.2,0.5,0,0.6,0.6,0.6,0,0,0,0.4,0.2,874636
Andrew Harrison,PG,22,MEM,72,18,20.5,1.6,5,0.325,0.6,2.2,0.276,1,2.8,0.363,0.385,2.1,2.1,0.763,0.3,1.6,1.9,2.8,0.7,0.3,1.2,2.7,5.9,945000
Udonis Haslem,C,36,MIA,16,0,8.1,0.7,1.4,0.478,0,0.2,0,0.7,1.3,0.55,0.478,0.6,0.6,0.6,0.5,1.8,2.3,0.4,0.4,0.1,0.5,1.4,1.9,4000000
Gordon Hayward,SF,26,UTA,73,73,34.5,7.5,15.8,0.471,2,5.1,0.398,5.4,10.7,0.506,0.536,5,5,0.844,0.7,4.7,5.4,3.5,1,0.3,1.9,1.6,21.9,16073140
Gerald Henderson,SG,29,PHI,72,41,23.2,3.3,7.7,0.423,0.8,2.4,0.353,2.4,5.3,0.455,0.478,1.8,1.8,0.806,0.5,2.1,2.6,1.6,0.6,0.2,0.9,1.8,9.2,9000000
John Henson,C,26,MIL,58,39,19.4,2.7,5.3,0.515,0,0,0,2.7,5.3,0.516,0.515,1.3,1.3,0.692,1.6,3.5,5.1,1,0.5,1.3,0.9,2.6,6.8,12517606
Juan Hernangomez,PF,21,DEN,62,9,13.6,1.6,3.6,0.451,0.7,1.8,0.407,0.9,1.8,0.495,0.554,0.9,0.9,0.75,0.7,2.3,3,0.5,0.5,0.2,0.5,1,4.9,1987440
Willy Hernangomez,C,22,NYK,72,22,18.4,3.4,6.5,0.529,0.1,0.2,0.267,3.4,6.3,0.538,0.533,1.3,1.3,0.728,2.4,4.6,7,1.3,0.6,0.5,1.4,2.1,8.2,1350000
Mario Hezonja,SF,21,ORL,65,2,14.8,1.8,5.1,0.355,0.7,2.2,0.299,1.1,2.9,0.398,0.42,0.6,0.6,0.8,0.3,1.9,2.2,1,0.5,0.2,0.9,1.1,4.9,3909840
Nene Hilario,C,34,HOU,67,8,17.9,3.7,5.9,0.617,0,0.1,0.333,3.6,5.8,0.624,0.621,1.7,1.7,0.589,1.4,2.8,4.2,1,0.8,0.6,1.1,2.4,9.1,2898000
George Hill,PG,30,UTA,49,49,31.5,5.9,12.4,0.477,1.9,4.8,0.403,4,7.6,0.523,0.554,3.2,3.2,0.801,0.5,2.9,3.4,4.2,1,0.2,1.7,2.3,16.9,8000000
Jordan Hill,C,29,MIN,7,0,6.7,0.7,1.9,0.385,0,0,0,0.7,1.9,0.385,0.385,0.3,0.3,1,1.1,0.9,2,0,0.1,0,0.6,1.3,1.7,4000000
Solomon Hill,SF,25,NOP,80,71,29.7,2.3,6,0.383,1.2,3.4,0.348,1.1,2.6,0.428,0.481,1.3,1.3,0.805,0.6,3.2,3.8,1.8,0.9,0.4,1,2.3,7,11241218
Jrue Holiday,PG,26,NOP,67,61,32.7,6,13.3,0.454,1.5,4.2,0.356,4.6,9.1,0.498,0.51,1.8,1.8,0.708,0.7,3.3,3.9,7.3,1.5,0.7,2.9,2,15.4,11286518
Justin Holiday,SG,27,NYK,82,4,20,2.8,6.6,0.433,1.2,3.3,0.355,1.7,3.2,0.513,0.523,0.8,0.8,0.825,0.3,2.4,2.7,1.2,0.8,0.4,0.8,1.3,7.7,1015696
Rondae Hollis-Jefferson,SF,22,BRK,78,50,22.6,3,6.9,0.434,0.2,0.9,0.224,2.8,6.1,0.463,0.447,2.4,2.4,0.751,1.2,4.6,5.8,2,1.1,0.6,1.5,2.3,8.7,1395600
